"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","428279","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance","isotype","T. S. dos Santos","300","1968","12","10","South America","Brazil","Bahia","Una","Fazenda Sao Rafael","-39.2481074","-15.2189248","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428279","NY00428279_01 NY00428279_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:12:53-03","UFBA","ALCB","127532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Labiak, PH; Forzza, RC; Amorim, AMA; Pessoa, C","5975","2014","11","23","Southern America","Brasil","Bahia","Almadina","Serra do Concovado. Acesso pela Faz. de Seu Francisco.","-39.602778","-14.7125",NA,"ca. 12 m alt. Folhas levemente discolores, face abaxial mais clara com indumento de tricomas hialinos a amarelados. Pedicelo, brácteas e cálice verdes, pétalas brancas, estames e estilete brancos na base e roxos no ápice.; Floresta Om","ALCB044752","ALCB044752","-39.602778","-14.7125","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:36:21-02","IPA","IPA","74472","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Monteiro, M.T.","21806",NA,NA,NA,"Southern America","Brasil","Alagoas","União dos Palmares","Fazenda Ximenes","-36.0318984985352","-9.16277980804443",NA,"Flôres pequenas, rôxas mais ou menos perfumadas. Árvore de grande porte","IPA0074472",NA,NA,NA,NA,NA,"Gomes-Silva, A.","2017","07","19","22346","auto",NA,NA,NA
"4","2019-02-15 11:36:21-02","IPA","IPA","68555","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Cara, P.A.A.","3","2003","12","19","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra, grota do varjão, interior da mata, topo.","-35.9393997192383","-8.97249984741211",NA,"Árvore.","IPA0068555",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","25","16798","auto",NA,NA,NA
"5","2019-02-15 11:36:21-02","IPA","IPA","68558","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Cara, P.A.A.","16","2003","10","03","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra, grota do varjão, interior da mata, topo.","-35.9393997192383","-8.97249984741211",NA,"Arbusto de 3-4m de altura, com folhas pilosas.","IPA0068558",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","25","16798","auto",NA,NA,NA
"6","2019-02-15 11:36:21-02","IPA","IPA","76103","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Monteiro, M.T.","21806","1967","10","10","Southern America","Brasil","Alagoas","União dos Palmares","Fazenda Ximenes","-36.093611","-9.383056",NA,"Árvore de grande porte; flores pequenas, roxas, perfumadas.","IPA0076103",NA,"-36.093611","-9.383056",NA,NA,"Gomes-Silva, A.","2017","07","19",NA,NA,NA,NA,NA
"7","2019-02-15 11:36:21-02","IPA","IPA","69659","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Oliveira, M.; Grillo, A.A.; Grillo, A.A.","1156","2002","10","16","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra, grota da burra.","-35.9393997192383","-8.97249984741211",NA,"Árvore ca. 15m de altura. Cálice e ramos ferrugíneos; estigma e estames alvo-lilases. Ocasional.; Vegetação arbustivo-arbórea. Solo argilo-arenoso. Topo da mata.","IPA0069659",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","25","16798","auto",NA,NA,NA
"8","2019-02-15 11:36:21-02","IPA","IPA","65806","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Oliveira, M.; Grillo, A.A.; Grillo, A.A.","1315","2003","03","12","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra, grota da burra, área de topo.","-35.9393997192383","-8.97249984741211",NA,"Árvore ca. 7m de altura; tronco acastanhado; florais com cálice verde-ferrugíneo, corola branca, estames avermelhados.; Vegetação arbustivo-arbórea densa. Solo humoso.","IPA0065806",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","25","16798","auto",NA,NA,NA
"9","2019-02-15 11:36:21-02","IPA","IPA","75258","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Monteiro, M.T.","22808","1968","10","21","Southern America","Brasil","Alagoas","São Miguel dos Campos","Fabrica Sebastião Ferreira","-36.0936012268066","-9.78110980987549",NA,"Flores pequenas, alvas, perfume bastante agradável.","IPA0075258",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","24","30539","auto",NA,NA,NA
"10","2019-02-15 11:36:21-02","IPA","IPA","60455","S","Plantae","Plantae",NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Monteiro, M.T.","21806",NA,NA,NA,"Southern America","Brasil","Alagoas","União dos Palmares","Fazenda Ximenes","-36.0318984985352","-9.16277980804443",NA,"Flores pequenas, roxas, mais ou menos perfumads. Árvore de grande porte.","IPA0060455",NA,NA,NA,NA,NA,"Gomes-Silva, F.","2016","11","25","22346","auto",NA,NA,NA
"11","2020-09-14 18:23:27-03","UFPB","JPB","40739","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Amorim, AM; Rocha, WD; Rodrigues, AB; Paixão, JL","6562","2006","11","25","Southern America","Brasil","Bahia","Arataca","RPPN Caminho das Pedra, Serra do Peito de Moça, entrada a 9,5 Km no Assentamento Santo Antônio, mais 8,9 Km até a sede da RPPN. Trilha de acesso ao Mormaço.","-39.339444","-15.174167",NA,"; HABITAT: Floresta Ombrófila Denda Montana.; DESC: Arvoreta ca. 4m alt. Folhas algo discolores a face inferior ferrugínea. Raque e cálice ferrugíneo, estames arroxeados.",NA,NA,"-39.339444","-15.174167","400","936","Guedes, MLS","2020","07","18",NA,NA,NA,NA,NA
"12","2019-08-15 09:03:27-03","UESC","UESC","20938","S","Plantae","Angiospermae","Florideophycidae","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Amorim, A.M.A.","6562","2006","11","15",NA,"Brasil","Bahia","Arataca",NA,"-39.339444","-15.174167",NA,"Arvoreta ca. 4m alt.","UESC0020938",NA,"39W20'22''","15S10'27''","400","936","R. Asprimo","2016","03",NA,NA,NA,"Dicotyledoneae",NA,NA
"13","2019-08-15 09:03:27-03","UESC","UESC","15886","S","Plantae","Angiospermae","Florideophycidae","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Coelho, M.M.","624","2012","02","03",NA,"Brasil","Bahia","Almadina",NA,"-39.603333","-14.705833",NA,"Árvore com cerca de 20m alt.; Fotos.","UESC0015886",NA,"39W36'12''","14S42'21''",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"14","2021-03-04 11:04:49-03","UFRB","HURB","13877","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Victor Jr., V.","2132","2013","01","16",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000013877",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33549","auto",NA,NA,NA
"15","2021-01-26 13:53:15-03","IMA","MAC","21664","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.Oliveira; A.A.Grillo","683","2001","12","13",NA,"Brasil","Alagoas","Ibateguara","Coimbra, Grota do Varjão.","-35.9393997192383","-8.97249984741211",NA,"Arvoreta ca. 8 m de altura. Flores brancas.; Vegetação arbustiva-arbórea.","MAC0021664",NA,NA,NA,NA,NA,"F.Gomes-Silva","2017","01","31","16798","auto",NA,NA,NA
"16","2021-01-26 13:53:15-03","IMA","MAC","21293","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.Oliveira; A.A.Grillo","1315","2003","03","12",NA,"Brasil","Alagoas","Ibateguara","Coimbra, Grota da Burra, área de topo.","-36.576111","-9.623611",NA,"Árvore com ca. de 7m de altura. Tronco acastanhado, florais com cálice verde-ferrugíneo, corola branca Estames avermelhados.; Vegetação arbustiva arbórea densa. Solo humoso.","MAC0021293",NA,"-36.576111","-9.623611",NA,NA,"F.Gomes-Silva","2017","01","31",NA,NA,NA,NA,NA
"17","2021-01-26 13:53:15-03","IMA","MAC","29097","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"N.T.Mendonça","455",NA,NA,NA,NA,"Brasil","Alagoas","Murici",NA,"-35.942797","-9.306822",NA,"Árvore ca. de 7m de altura. Inflorescência. Frutos imaturos.; Mata Atlântica.","MAC0029097",NA,"-35.942797","-9.306822",NA,NA,"F.Gomes-Silva","2018","08","15",NA,NA,NA,NA,NA
"18","2021-01-26 13:53:15-03","IMA","MAC","62424","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.C.S.Mota; E.C.O.Chagas","11831","2012","11","23",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Bananeiras.","-35.892269","-9.229928",NA,"Árvore ca. 10 m de alt. Flores com pétalas brancas, estames roxos.; Mata Atlântica.","MAC0062424",NA,"-35.892269","-9.229928",NA,NA,"F.Gomes-Silva","2018","08","15",NA,NA,NA,NA,NA
"19","2021-01-26 13:53:15-03","IMA","MAC","62538","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.C.S.Mota; E.C.O.Chagas; J.W.A.Silva","11945","2013","01","24",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Bananeiras.","-35.892269","-9.229797",NA,"Árvore ca. 8 m de alt. Frutos verdes e roxos.; Mata Atlântica.","MAC0062538",NA,"-35.892269","-9.229797",NA,NA,"F.Gomes-Silva","2018","08","15",NA,NA,NA,NA,NA
"20","2021-02-04 10:26:59-03","UFRPE","HST","2974","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.T.Monteiro","22808","1968","10","21",NA,"Brasil","Alagoas","São Miguel dos Campos","Fábrica Sebastião Ferreira","-36.0936012268066","-9.78110980987549",NA,"Flores pequenas, alvas, perfume bastante agradável.","HST002974",NA,NA,NA,NA,NA,"F.Gomes-Silva","2016","09","01","30539","auto",NA,NA,NA
"21","2021-02-04 10:26:59-03","UFRPE","HST","2421","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"M.T.Monteiro","21806","1967","10","10",NA,"Brasil","Alagoas","União dos Palmares","Fazenda Ximenes","-36.0318984985352","-9.16277980804443",NA,"Árvore de grande porte; flores pequenas, roxas, perfumadas.","HST002421",NA,NA,NA,NA,NA,"F.Gomes-Silva","2016","11","03","22346","auto",NA,NA,NA
"22","2021-03-01 11:54:43-03","UFPE","UFP","36222","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Oliveira, M; Grilo, AA","683","2001","12","13",NA,"Brasil","Alagoas","Ibaguatera",NA,NA,NA,NA,"Árvore ca. 8m alt. Caule cinzento, cálice verde, corola banca, anteras liláses. Ocasional.; Vegetação arbustivo-arbórea. Solo argiloarenoso. Borda da trilha, dentro da mata.","UFP036222",NA,NA,NA,NA,NA,"Gomes, SF","2017","01","18",NA,NA,NA,NA,NA
"23","2021-03-01 11:54:43-03","UFPE","UFP","36309","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Oliveira, M; Grilo, AA","1156","2002","10","16",NA,"Brasil","Alagoas","Ibaguatera",NA,NA,NA,NA,"Árvore ca. 15m alt. Cálice e ramos ferrugíneos; estigma e estames alvo-liláses. Ocasional.; Vegetação arbustivo-arbórea. Solo argiloarenoso. Topo da mata.","UFP036309",NA,NA,NA,NA,NA,"Gomes, SF","2017","01","18",NA,NA,NA,NA,NA
"24","2021-03-01 11:54:43-03","UFPE","UFP","38009","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Oliveira, M; Grilo, AA","1315","2003","03","12",NA,"Brasil","Alagoas","Ibaguatera",NA,NA,NA,NA,"Árvore ca. 7m alt. tronco acastanhado; florais com cálice verde-ferrugíneo, corola branca e estames avermelhados.; Vegetação arbustivo-arbórea. Solo argiloarenoso. Solo humoso.","UFP038009",NA,NA,NA,NA,NA,"Gomes, SF","2017","01","18",NA,NA,NA,NA,NA
"25","2021-03-01 11:54:43-03","UFPE","UFP","38829","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Cara, PAA","16","2003","10","03",NA,"Brasil","Alagoas","Ibaguatera",NA,NA,NA,NA,"Arbusto de 3-4m, com folhas pilosas.; Interior da mata. Topo.","UFP038829",NA,NA,NA,NA,NA,"Gomes, SF","2017","01","18",NA,NA,NA,NA,NA
"26","2021-03-01 11:54:43-03","UFPE","UFP","38835","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Cara, PAA","3","2003","12","19",NA,"Brasil","Alagoas","Ibaguatera",NA,NA,NA,NA,"Árvore.; Interior da mata, no topo.","UFP038835",NA,NA,NA,NA,NA,"Gomes, SF","2017","01","18",NA,NA,NA,NA,NA
"27","2019-11-13 11:17:51-03","USP","SPF","181454","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","santosii","Hirtella santosii","Prance",NA,"Jardim, JG","4791","2005","12","10",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada","-39.536111","-14.770278",NA,NA,"SPF00181454",NA,"-39.536111","-14.770278","650","650","Asprino, R","2018","11",NA,NA,NA,NA,NA,NA
