"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","02384402","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata","Mart. ex Spreng.","L. R. Moreno Suárez","38","1990","05","07","South America","Bolivia","Santa Cruz","Santiesteban. Montero - la Vopia","430","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579383' target='other'> <mi>dwc_moreinfo</mi></a>","NY02384402","NY02384402_01 NY02384402_02 NY02384402_03 NY02384402_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 20:15:00-03","NY","NYBG","02384408","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"B. M. Boom","4145","1983","12","12","South America","Bolivia","El Beni","Vicinity of the Chácobo village Alto Ivon","200","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579391' target='other'> <mi>dwc_moreinfo</mi></a>","NY02384408","NY02384408_01 NY02384408_02 NY02384408_03 NY02384408_04 NY02384408_05 NY02384408_06 NY02384408_07 NY02384408_08 NY02384408_09","Vaca Díez","-66.03","-11.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02326943","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata","Mart. ex Spreng.","M. J. Balick","1358","1982","07","28","South America","Bolivia","El Beni","Prov. Cercado/Marban; Estación Experimental Perotó, 97 km East SE of Trinidad, on the road to Santa Cruz","230","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579350' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326943","NY02326943_01 NY02326943_02 NY02326943_03 NY02326943_04 NY02326943_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 20:15:00-03","NY","NYBG","02384401","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"A. J. Henderson","s.n.","1996","01",NA,"South America","Bolivia","Santa Cruz",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579382' target='other'> <mi>dwc_moreinfo</mi></a>","NY02384401","NY02384401_01 NY02384401_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","756227","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata","Mart. ex Spreng.","M. Pinard","858",NA,NA,NA,"South America","Brazil","Acre","Seringal Cachoeira, 35 km south-south-east of Xapuri; Colocação Altamira, off verador through capoeira/campo east after 1st bridge and 1st gate.",NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756227","NY00756227_01 NY00756227_02","Xapuri","-68.5044","-10.6517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-12-20 09:44:00-02","NY","NYBG","02384414","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"T. J. Killeen","2212","1986","10","31","South America","Bolivia","Santa Cruz","Nuflo de Chavez, Estancia Las Madres, 10km N of Concepción","480","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579400' target='other'> <mi>dwc_moreinfo</mi></a>","NY02384414","NY02384414_01",NA,"-62","-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 20:15:00-03","NY","NYBG","02326946","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"A. J. Henderson","2205","1996","08","22","South America","Peru","Loreto","Road from Iquitos-Nauta. Alpahuayo, km 21",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579354' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326946","NY02326946_01 NY02326946_02 NY02326946_03","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 20:15:00-03","NY","NYBG","02326942","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"E. M. Zardini","54047","2000","05","08","South America","Paraguay","Amambay","Trail to ARroyo Estrella. Cerrado Forest",NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579348' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326942","NY02326942_01 NY02326942_02 NY02326942_03 NY02326942_04 NY02326942_05",NA,"-56.4381","-22.1211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 20:15:00-03","NY","NYBG","02384412","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata",NA,"E. M. Zardini","52420","1999","11","10","South America","Paraguay","Amambay","National Park Cerro Corá. Cerrado scrub and gallery forest on creek along foot trail to Naranja-Jai.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2579398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02384412","NY02384412_01 NY02384412_02 NY02384412_03 NY02384412_04 NY02384412_05 NY02384412_06 NY02384412_07 NY02384412_08 NY02384412_09",NA,"-55.9925","-22.6386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00878139","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","phalerata","Attalea phalerata","Mart. ex Spreng.","E. J. Ferreira","517","1998","09","17","South America","Brazil","Mato Grosso","10 km. da estrada entre Cuiabá e Chapada dos Guimaraes, margem esquerda.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878139","NY00878139_01","Cuiabá","-55.75","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
