"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","geoFlag","occurrenceRemarks","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","phylum","class","order"
"1","2019-12-19 11:19:07-03","UFG","UFG","45752","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","H.D. Ferreira","2011","08","08","H.D. Ferreira; M.T. Faria","4972","2011","08","08","Brasil","Goiás","Macedo","-40.383333","-14.3","-40.383333","-14.3","UFG0045752","UFG0045752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 11:19:07-03","UFG","UFG","30829","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","Faria, M.T.; H.D. Ferreira","2007","04","21","H.D. Ferreira; Faria, M.T.","4668","2007","04","21","Brasil","Goiás","Alto Paraiso","-47.488556","14.209278","-47.488556","14.209278","UFG0030829","UFG0030829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-19 11:19:07-03","UFG","UFG","19973","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","M.T. Faria","2011","12","01","R.C. Mendonça; T.S. Filgueiras; M.L. Fonseca & J.A. Vieira","2594","1996","08","15","Brasil","Goiás","Niquelândia","-48.412222","-14.373056","-48.412222","-14.373056","UFG0019973","UFG0019973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 11:19:07-03","UFG","UFG","45756","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","H.D. Ferreira; M.T. Faria","2010","10","15","H.D. Ferreira; M.T. Faria","4975","2010","10","15","Brasil","Goiás","Niquelândia","-48.412222","-14.373056","-48.412222","-14.373056","UFG0045756","UFG0045756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-19 11:19:07-03","UFG","UFG","47986","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","M.T. Faria","2012","05","01","R.D.Sartin; E.C.Silva; M.A.Silva; et al.","342","2012","04","29","Brasil","Goiás","Campinorte","-49.1511001586914","-14.3114004135132",NA,NA,"UFG0047986","UFG0047986","89770","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-19 11:19:07-03","UFG","UFG","30698","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","M.T. Faria","2011","08","08","H.D. Ferreira","4531","2006","09","09","Brasil","Goiás","Colinas do Sul","-48.0783004760742","-14.1513996124268",NA,NA,"UFG0030698","UFG0030698","58154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-19 11:19:07-03","UFG","UFG","30699","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","M.T. Faria","2011","09","06","Ferreira, H.D.","4532","2006","09","09","Brasil","Goiás","Colinas do Sul","-48.0783004760742","-14.1513996124268",NA,NA,"UFG0030699","UFG0030699","58154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-19 11:19:07-03","UFG","UFG","30701","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","M.T. Faria","2011","09","06","Ferreira, H.D.","4534","2006","09","09","Brasil","Goiás","Colinas do Sul","-48.0783004760742","-14.1513996124268",NA,NA,"UFG0030701","UFG0030701","58154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-19 11:19:07-03","UFG","UFG","45755","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","H.D. Ferreira","2011","10","18","Ferreira, H.D.; Faria, M.T.","4974","2011","10","18","Brasil","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,"UFG0045755","UFG0045755","74171","auto","Folhas escabrosas, caule glabro e glaucos, inflorescência paniculada, flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 11:19:07-03","UFG","UFG","45753","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","Schliewe, M.A.","2011","08","09","H.D. Ferreira; M.T. Faria","4973","2011","08","09","Brasil","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,"UFG0045753","UFG0045753","74171","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-19 11:19:07-03","UFG","UFG","47985","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","R.D. Sartin","2012","08","20","R.D. Sartin; E.C. Silva","381","2012","07","20","Brasil","Tocantins","Palmeirópolis","-48.4021987915039","-13.0438995361328",NA,NA,"UFG0047985","UFG0047985","30204","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-19 11:19:07-03","UFG","UFG","41502","S","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley",NA,NA,NA,NA,"Ferreira, H.D.","4781","2009","06","12","Brasil","Goiás","Mineiros","-52.5511016845703","-17.5694007873535",NA,NA,"UFG0041502","UFG0041502","100343","auto",NA,"Parque Nacional das Emas",NA,NA,NA,NA,NA,NA,NA
"13","2020-09-02 16:30:03-03","Cenargen","CEN","23416","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley",NA,NA,NA,NA,"Ruth Atkinson","141","1995","07","23","Brasil","GO","NIQUELANDIA","-48.266666","-14.083333","-48.266666","-14.083333","CEN00023416","CEN00023416",NA,NA,"Low woody herb to 60 cm. Corolla red with yellow mark on lower lip, anthers yellow, filaments and style pink. Calyx deep purple with some green. In open cerrado with well-developed grass layer. Doação Flora of Brasil - State of Goiás.","Serra da Mesa, near Codemin ca. 25 km NE of Niquelândia.","400","400","Exsicatas","1",NA,NA,NA
"14","2020-09-02 16:30:03-03","Cenargen","CEN","24667","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","aristulata","Hypenia aristulata","(Epling) Harley","B. M. T. Walter","2000","01",NA,"Bruno Machado Teles Walter","2706","1995","10","07","Brasil","GO","NIQUELANDIA","-48.382777","-14.061111","-48.382777","-14.061111","CEN00024667","CEN00024667",NA,NA,"ANTERA AMARELA; COROLA VERMELHA. FUTURO RESERVATORIO DO AHE SERRA DA MESA","Região da Serra Negra, margem esquerda do rio Bagagem, próximo à fazenda Aroeira, após a CODEMIN, cerca de 10 km desta.","390","390","Exsicatas","2",NA,NA,NA
