"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1266","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","Marcos Sobral","Jairo José Zocche","1992","09","24","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","Habitat: beira da mata Habito: arvoreta","CRI005575","CRI005575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1709","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","Marcos Sobral","V. Citadini-Zanette; A. J. de Aguiar & R. dos Santos","1992","08","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","48","48",NA,"CRI005574","CRI005574","1993","08","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:41-03","UNESC","CRI","1216","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","opposita","Guapira opposita warmingii","(heimerl) reitz","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Robson dos Santos","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005576","CRI005576",NA,NA,NA,"warmingii","1461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","719872","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell",NA,"R. J. Almeida-Scabbia","2007","12","13","Brazil","São Paulo","Santo André","Suborefeitura de Paranapiacaba e Parque Andreense, Rua Pombo Correio","-46.439811","-23.779214",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719872","NY00719872_01",NA,NA,NA,NA,"5203","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","657046","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","L. Y. T. Westra","F. C. Hoehne","1928","11","30","Brazil","Santa Catarina","Porto Uniao","Porto Uniao","-51.0781","-26.2383",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657046","NY00657046_01",NA,NA,NA,NA,"23211","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","657041","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","A. Furlan","W. Ganev","1993","11","14","Brazil","Bahia","Rio de Contas","Carrapato, Beira Rio da Agua Suja-Acima da barragem","-41.8","-13.38",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657041","NY00657041_01",NA,NA,NA,NA,"2493","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","657044","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","L. Y. T. Westra","A. F. M. Glaziou","1884","10","22","Brazil",NA,NA,"Nova Friburgo. Minas",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657044","NY00657044_01",NA,NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","657043","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","D. C. Zappi","W. Ganev","1993","11","03","Brazil","Bahia","Abaíra","Mata do criminoso","-41.8","-13.33",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657043","NY00657043_01",NA,NA,NA,NA,"2395","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","657047","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","A. Furlan","G. G. Hatschbach","1991","01","23","Brazil","Paraná","Guaraqueçaba","Rio Guaraqueçaba, próximo a barra","-48.3289","-25.3069",NA,NA,"3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657047","NY00657047_01",NA,NA,NA,NA,"54917","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02714940","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","A. M. Amorim","A. M. Amorim","1998","04","21","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA), entrada no km 46 da Rod. BA-001 Ilhéus/Una, Coletas efetuadas na trilha paralela ao Rio Maruim","-39.08","-15.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183535' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714940","NY02714940_01",NA,NA,NA,NA,"2388","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","720524","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell",NA,"C. Farney","1986","05","23","Brazil","Rio de Janeiro","Maricá","Barra de Maricá, a 1 km do Canal de São Bento.","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720524","NY00720524_01",NA,NA,NA,NA,"1127","Magnoliophyta","Caryophyllales","South America","sheet","20726","auto",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","657045","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","K. Almeida","K. Almeida","2002","01","09","Brazil","Pernambuco","Sao Lourenço da Mata","Estaçao Ecológica do Tapacurá","-34.95027778","-8.0127778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657045","NY00657045_01",NA,NA,NA,NA,"235","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","657042","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","A. Furlan","W. Ganev","1993","10","02","Brazil","Bahia","Abaíra","Mata do Engenho de Baixo","-41.82","-13.32",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657042","NY00657042_01",NA,NA,NA,NA,"1771","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1182790","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","D. B. O. S. Cardoso","D. B. O. S. Cardoso","2006","04","20","Brazil","Bahia","Ruy Barbosa","ARIE Serra do Orobó. Trilha Pátio das Orquideas.","-40.4875","-12.3008",NA,NA,"477","477","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408976' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182790","NY01182790_01",NA,NA,NA,NA,"1217","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
