"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","402695","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","I. de Vattimo","H. M. Curran","628","1918","12","09","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402695","NY00402695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","931245","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","W. Morawetz","P. Clausen","1492",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931245","NY00931245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402696","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","I. de Vattimo","F. Sellow","220",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402696","NY00402696_01 NY00402696_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","402697","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","I. de Vattimo","A. H. Gentry","49618","1985","01","16","South America","Brazil","Minas Gerais",NA,"Caraça, trail to Cascatinha, behind monastery, Parque Natural de Caraça.","-43.5","-20.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402697","NY00402697_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:30:33-03","NBC","NL-BOTANY","L.2815078","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2815078 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2815078","NL-L2815078",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:16-03","ESALQ","ESA","23930","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Farias, R.","Sano, P.T. et al.",NA,"1994","02","23",NA,"Brasil","Bahia","Piatã",NA,"-41.7728004455566","-13.1519002914429",NA,NA,"ESA023930","ESA023930",NA,NA,NA,"41184","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:16-03","ESALQ","ESA","34069","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Souza, V.C.","Ferretti, A.R. et al.","61.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,"ESA034069","ESA034069",NA,NA,NA,"38855","auto","1998","02","05",NA,NA,NA,NA,NA
"8","2020-11-04 11:03:16-03","ESALQ","ESA","27389","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Souza, V.C.","Rossi, L. ; Catharino, E.L.M.","1562.0","1994","07","16",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,"ESA027389","ESA027389",NA,NA,NA,"30784","auto","1998","02","06",NA,NA,NA,NA,NA
"9","2019-08-20 10:08:04-03","UNICAMP","UEC","59628","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Mansano, VF","Buzato, S; Sazima, M","28018","1992","11","29",NA,"Brazil","São Paulo",NA,"Parque Estadual da Serra do Mar, Estrada próxima da reserva. Núcleo Cunha.",NA,NA,NA,"Flores, Arbusto, flores de coloração laranja.","UEC140278","UEC140278",NA,NA,NA,NA,NA,"2007","03","19",NA,NA,NA,NA,NA
"10","2019-08-20 10:08:04-03","UNICAMP","UEC","728","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Mansano, VF","Cruz, ND; Shepherd, GJ","6310","1977","11","17",NA,"Brazil","Minas Gerais",NA,"Serra do Caraça, Cerca de 70 km suleste de Belo Horizonte. Próximo ao Mosteiro do Caraça.",NA,NA,NA,"Flores, Arbusto até 1,5 m. Flores roxas. Mata ciliar.","UEC140281","UEC140281",NA,NA,NA,NA,NA,"2007","03","19",NA,NA,NA,NA,NA
