"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","typeStatus","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2013-08-23 04:12:00-03","MO","MOBOT","2820659","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","L. Kollmann","Ludovic Kollmann","Kollmann 23","1988","7","24","South America","Brazil","ES, Itarana, Pedra do Cruzeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","23181",NA,"Plantae","Orchidaceae","Epidendrum","josianae","Epidendrum josianae","M.Frey & V.P.Castro",NA,"M. Frey; et al","711","2004","11","10",NA,"Brasil","Pedra Santa (Imbiruçu)","HOLOTIPO","Minas Gerais","Mutum","-41.439444","-19.814722","41W26'22","19S48'53","Ocorre num inselberg granítico de altitude aproximada de 1200 metros, evitando áreas muito vegetalizadas, consorciado com vellozias e bromélias que crescem no litosolo. Folhas verdes e flores de cor verde oliva com a coluna e a base do","MBML023181","MBML023181_1 MBML023181_2",NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","22818",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.",NA,"R.R. Vervloet; et al","5","2000","06","20",NA,"Brasil","Alto Pedra Alegre (Pedra do Cruzeiro)",NA,"Espírito Santo","Santa Teresa","-40.825278","-19.874167","40W49'31","19S52'27","Somente em álcool.","MBML022818",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","24340",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","A.P. Fontana/13-02-2009","A. P. Fontana; et al","1173","2005","03","15",NA,"Brasil","Luxemburgo, Pedra Preta",NA,"Espírito Santo","Santa Leopoldina","-40.614444","-20.173056","40W36'52","20S10'23","Rupestre, frutos verdes.","MBML024340","MBML024340_1 MBML024340_2",NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","28799",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","A.P. Fontana, 26/8/2006","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1104","2006","07","26",NA,"Brasil","Pedra da Bandeira, Santa Luzia, prop.: Ciro Ferreira.",NA,"Espírito Santo","Águia Branca","-40.665556","-18.977778","40W39'56","18S58'40","Terrestre. Flores verdes e labelo esbranquiçado. Vegetação rupestre.","MBML028799","MBML028799","2006","08","26","170","170",NA,NA
"6","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","30192",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","R.R. Vervloet, 18/5/2007","V. Demuner; T. Cruz, R. R. Vervloet e Elias Bausen.","3981","2007","05","18",NA,"Brasil","Santa Luzia, propr.: Ciro Ferreira (proprriedade vendida)",NA,"Espírito Santo","Águia Branca","-40.661944","-18.974444","40W39'43","18S58'28","Herbácea 2m flores verdes, coluna do labelo branca. Afloramento rochoso.","MBML030192","MBML030192","2007","05","18","250","250",NA,NA
"7","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","32850",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","R. R. Vervloet/10-03-2008","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1098","2006","07","26",NA,"Brasil","Pedra da Bandeira, Santa Luzia, prop.: Ciro Ferreira.",NA,"Espírito Santo","Águia Branca","-40.665556","-18.977778","40W39'56","18S58'40","Terrestre. Flores verdes. Vegetação rupestre. Cultivo.","MBML032850","MBML032850",NA,NA,NA,"170","170",NA,NA
"8","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","5376",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.",NA,"L. Kollmann","23","1988","07","24",NA,"Brasil","Pedra do Cruzeiro",NA,"Espírito Santo","Itarana","-40.826111","-19.874444","40W49'34","19S52'28","Planta rupícola no sol. Estéril. Flor com coluna branca, sépalas e pétalas verde marrom, labelo da base até o meio branco do meio até o ápice verde marrom, planta de 1m20cm, herb. E álcool em 01/X1/1988. culta (jardim rupestre).","MBML005376","MBML005376",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","8103",NA,"Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","L. Kollmann/17-11-1998","L. Kollmann; E. Bausen & W. Pizziolo","1020","1998","11","17",NA,"Brasil","Santo Antônio",NA,"Espírito Santo","Santa Teresa","-40.589167","-19.922222","40W35'21","19S55'20","Lado Canaã. Planta 2m. Rupícula. Flores marrons. Herb/Culta/Álcool.","MBML008103","MBML008103",NA,NA,NA,NA,NA,NA,NA
"10","2014-10-09 13:58:27-03","UHH","HBG","501647","S","Plantae","Orchidaceae","Epidendrum","robustum","Epidendrum robustum","Cogn.","HBG-formal name entry","Ule, E.","4644","1898","01",NA,"South America","Brazil","an Felsen des Pedro do Conico bei Nova-Friburgo","Isotype",NA,NA,NA,NA,NA,NA,"Herb. Ule NEOTROP","HBG501647","HBG501647","2009","02","26","1400","1400",NA,NA
