"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","county","yearIdentified","coordinatePrecision","geoFlag","class","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","545589","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub","R. Souza","6886","1968","09","09","South America","Brazil","Mato Grosso","Expedition Base Camp, c. 66 km S along road from Base Camp","-51.77","-12.82","sheet","Royal Society/Royal Geographic Society Expedition; In Richards <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","545588","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub","G. G. Hatschbach","23195","1969","12","12","South America","Brazil","Paraná","Rio Pequeno","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545588","P. F. Ravenna","Sao José dos Pinhais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:18:46-03","UFRJ","RFA","12023","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","G.G. Hatschbach","24716","1970","09","18",NA,"Brasil","Paraná","Serra São Luis","-49.6356010437012","-25.5839004516602",NA,"Flor lilás, foto cor","RFA52255","P.F. Ravenna","Balsa Nova","1971","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:46-03","UFRJ","RFA","8770","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","G.G. Hatschbach","19722","1968","09","15",NA,"Brasil","Paraná","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Flor lilás, anteras amarelas","RFA52253","P.F. Ravenna","Lapa",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:06:52-03","CPAN-UFMS","COR","7890","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","N. Imaguire","2337","1970","05","13",NA,"Brasil","Paraná","Fazenda Experimental de Agronomia.","-49.0633010864258","-25.4416999816895",NA,"Campo drenado, com bulbos.; Com Flor: purúreo-clarsos",NA,"G. Hatschbach","Piraquara",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1475046","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Hatschbach GG",NA,"1968","09","15","Southern America","Brazil",NA,"Est. Paraná, Mun. Lapa, Rio Passa Dois.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1475046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1475046",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1475046",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1475047","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Hatschbach GG",NA,"1967","10","11","Southern America","Brazil",NA,"Est. Paraná, Mun. Ponta Grossa, Rio Verde, Capão da Onça. *.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1475047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1475047",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1475047",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:45:37-03","NBC","NL-BOTANY","U.1065392","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Souza R; Richard",NA,"1968","09","09","Southern America","Brazil",NA,"Central Brazilian Plateau. State of Mato Grosso. Expidition Base camp. C 66 km S along road from Base Camp.","-51.766667","-12.816667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065392 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065392",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-U1065392","-51.766667","-12.816667",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:45:37-03","NBC","NL-BOTANY","U.1065393","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Lindeman JC; Haas JH de",NA,"1966","12","15","Southern America","Brazil",NA,"Est. Santa Catharina. Campo N of Lajes (along road BR-2).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065393",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-U1065393",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:19-03","IAP","PACA-AGP","90162","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub.","Mauhs, J.",NA,"2002","12","02",NA,"Brasil","RS","Estação Ecológica de Aracuri.","-51.190299987793","-28.0536003112793",NA,"material misturado: Poaceae Habitat: Erva em área úmida.","PACA090162","Bastian, R. E.","Esmeralda","2017","38649","auto","Liliatae",NA,NA,NA,"05","30",NA,NA,NA,NA
