"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","locality","individualCount","occurrenceRemarks","infraspecificEpithet","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","barcode","identifiedBy","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3496","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Miltonia","cf. spectabilis","Miltonia cf. spectabilis","Lindl.","Rubens Custódio;","Rio Pitangui (margem)","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3861","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.",NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1844009","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis moreliana","(A.Rich.) Henfr.","R. P. Belém","Centro de Pesquisas do Cacau; CEPLAC, CEPEC.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134413' target='other'> <mi>dwc_moreinfo</mi></a>","moreliana","630","1965","04","01","South America","Brazil","Bahia","Ilhéus","-39.2273659","-14.771874","sheet","NY01844009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1032187","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","G. Edwall","Raiz Nova da Serra.",NA,"Ex. Herv. Comm. Geogr. e Geol. de S. Paulo. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191854' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"27294","1898","12",NA,"South America","Brazil","São Paulo",NA,NA,NA,"sheet","NY01032187","G. Edwall","NY01032187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:49-03","EAO","IAN","29052","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Occhioni, P",NA,NA,"Flor cor de rosa.",NA,"2","1938","09","18","Southern America","Brasil","Distrito Federal",NA,NA,NA,NA,"IAN029052","Meneguzzo, TEC","IAN029052 IAN029052_1 IAN029052_e IAN029052_e1","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:38-03","PUCPR","HUCP","21810","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Keller, H",NA,NA,NA,NA,"048","2009","03","13",NA,"Brasil","Paraná","Morretes","-48.834400177002","-25.476900100708",NA,"HUCP00003336",NA,"HUCP00003336",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:38-03","ESALQ","ESA","33369","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Toledo, A.C.",NA,NA,NA,NA,"1.0","1995","11","09",NA,"Brasil","São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,"ESA033369","van den Berg, C.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:38-03","ESALQ","ESA","8089","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Mendonça, G.F.",NA,NA,NA,NA,"6.0","1992","11","05",NA,"Brasil","São Paulo","Bocaína","-48.5099983215332","-22.1299991607666",NA,"ESA008089","van den Berg, C.",NA,NA,"18396","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:38-03","ESALQ","ESA","33355","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"Dias, R.S. ; Toledo, J.R.",NA,NA,NA,NA,"5.0","1995","11","22",NA,"Brasil","São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,"ESA033355",NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:38-03","ESALQ","ESA","30808","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"Gatti, L.L. ; Marques, R.C.",NA,NA,NA,NA,NA,"1995","11","08",NA,"Brasil","São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,"ESA030808",NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA
