"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2020-09-23 10:39:11-03","E","E","180666","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Harley, R.M.","1992","01","31","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:195290","<a href=http://data.rbge.org.uk/herb/E00180666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504844","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","D. J. N. Hind","1992","01","31","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504844","Magnoliophyta","Malpighiales","Cordeiro","H51399","Abaíra","Estrada Velha de Aabaíra a S. José, 1 km de Abaíra. Beira da estrada entre Abaíra e S. José","-41.68","-13.23","700","800","NY00504844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685121","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","R. M. Harley","1992","01","31","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685121","Magnoliophyta","Malpighiales","Cordeiro","51399","Abaíra","Estrada velha de Abaíra a S. José 1 km de Abaíra. Beira da estrada entre Abaíra e S. José.","-41.68","-13.23","700","800","NY00685121_01","I. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","629684","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","R. M. Harley","1992","02","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629684","Magnoliophyta","Malpighiales","Cordeiro","H51654","Abaíra","Estrada velha Abaíra-S. José, 1 km de Abaíra","-41.68","-13.23","680","680","NY00629684_01","I. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:14:28-03","UFBA","ALCB","50616","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Guedes, ML; Saar, E","2001","01","24","Southern America","Brasil","Bahia",NA,NA,"herbácea. Foliólos cartáceos, discolores, pêlos urentos. Flores com brácteas roxas, cálice vináceo, estigma esverdeados.; arbustiva-arbórea antropizada","ALCB053075","Dicotyledon",NA,"Cordeiro","8150","Barra do Mendes","Irecê","-42.05","-11.8",NA,NA,NA,"Guedes, ML","2012","05","21","-42.05","-11.8",NA,NA,NA,NA,NA
"6","2020-12-21 16:24:26-03","MBM","MBM","230198","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Hind, D.J.N.; Ganev, W.; Queiroz, R.F.; Ganev, W.; Queiroz, R.F.","1992","01","31","Southern America","Brazil","Bahia",NA,NA,"Trepadeira, folhas discolores, acinzentadas na face abaxial, com nervuras rosadas com margens esverdeadas. Frutos jovens verde-escuros, brilhantes. Beira de estrada, sobre árvores; Trepadeira, folhas discolores, acinzentadas na face","MBM230198",NA,NA,"Cordeiro","51399","Abaíra","Estrada velha de Abaíra a S. José, 1 km de Abaíra.","-41.683333","-13.233333","700","800","MBM230198","Cordeiro","1998",NA,NA,"-41.683333","-13.233333","PARATYPE",NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","3411529","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","STANNARD","1992","2","28","South America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"Cordeiro","STANNARD 51654",NA,"Mun. Abaira: Estrada velha Abaira-S. Jose, 1 km de Abaira.","-41.68333","-13.68333","680.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 18:27:07-03","USP","SPF","92089","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Hind, DJN","1992","01","31",NA,"Brasil","Bahia",NA,NA,"Trepadeira, folhas discolores, acinzentadas na face abaxial, com nervuras rosadas. Brácteas rosa-escuras, sépalas rosadas com margens esverdeadas. Frutos jovem verde-escuros.","SPF00092089",NA,NA,"Cordeiro","H51399","Abaíra","Estrada velha de Abaíra a S. José, 1 km de Abaíra. Beira da estrada entre Abaíra e s. José, sobre árvores.","-41.683333","-13.233333","700","800","SPF00092089","Cordeiro, I",NA,NA,NA,"-41.683333","-13.233333","paratype",NA,NA,NA,NA
"9","2021-03-15 18:27:07-03","USP","SPF","91095","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Stannard, BL; Ganev, W; Queiroz, RF","1992","02","28",NA,"Brasil","Bahia",NA,NA,"Trepadeira 2.0 m alt., caules vináceos, folíolos verde escuros na face superior, verde-alvacentos na face inferior, nervuras e pecíolos vináceos. Brácteas roxas, estames, estiletes e estigma verde-amarelados, oleossomos verde-esmeral","SPF00091095",NA,NA,"Cordeiro","H51654","Abaíra","Estrada velha Abaíra-S. José, 1 km de Abaíra. Beira da estrada.","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,NA,NA,NA,NA,"holotype","26531","auto",NA,NA
"10","2019-10-07 09:30:59-03","UEFS","HUEFS","119294","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","purpurata","Dalechampia purpurata","Conceição, A.A.","2007","04","28",NA,"Brasil","Bahia",NA,NA,"Caatinga.","HUEFS0119294","Angiospermae","Malpighiales","Cordeiro","1927","Paramirim","Caminho Catuarama para Mateus.","-42.245556","-13.297222","593","593","HUEFS0119294","I.Cordeiro","2007","10",NA,"42W14'44''","13S17'50''",NA,NA,NA,"Rosanae",NA
