"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:42:25-03","E","E","293623","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","Harley, R.M.; Nic Lughadha, E.; Hind, D.J.N.; Souza, V.C.; Sakuragui, C.M.","1992","12","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:306617","<a href=http://data.rbge.org.uk/herb/E00293623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00556329","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans flavicans","G. G. Hatschbach","1970","05","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556329","Magnoliophyta","Piperales","flavicans","C.DC.","R. Callejas Posada","24353","Mato Grosso do Sul","Terenos","Cachoeirao","-54.8603","-20.4422","NY00556329_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280772","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans flavicans","R. M. Harley","1980","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620335' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280772","Magnoliophyta","Piperales","flavicans","C.DC.","R. Callejas Posada","21872","Bahia","Correntina","Chapadao Ocidental da Bahia, 12 km N of Correntina, on the road to Inhaúmas","-44.67","-13.25",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","632488","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","R. M. Harley","1992","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632488","Magnoliophyta","Piperales",NA,"C.DC.","L. A. Garces","H50451","Bahia","Abaíra","Brejo do Engenho","-41.8","-13.3","NY00632488_01","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","556327","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","G. G. Hatschbach","1963","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556327","Magnoliophyta","Piperales",NA,"C.DC.","R. Callejas Posada","10485","Paraná","Guairá","Sete Quedas; das margens do Rio Paraná","-54.2556","-24.08","NY00556327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00957391","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","G. G. Hatschbach","1970","05","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957391","Magnoliophyta","Piperales",NA,"C.DC.","R. Callejas Posada","24353","Mato Grosso do Sul","Terenos","Cachoeirão.","-54.8603","-20.4422","NY00957391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02434925","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","C. S. Rosário","1982","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674919' target='other'> <mi>dwc_moreinfo</mi></a>","NY02434925","Magnoliophyta","Piperales",NA,"C.DC.",NA,"149","Para","Belém","Area Ecologica do Guama.","-48.5043983459473","-1.4558299779892","NY02434925_01",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","556328","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans flavicans","R. M. Harley","1980","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556328","Magnoliophyta","Piperales","flavicans","C.DC.",NA,"21872","Bahia","Correntina","Chapadao Ocidental da Bahia, 12 km N of Correntina, on the road to Inhaúmas","-44.67","-13.25","NY00556328_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:46:50-03","EAO","IAN","119354","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","Sucre, D","1965","08","26","Southern America","Brasil",NA,NA,"Arbustinho erecta com mais ou menos 1,20m de altura, crescendo em alagado.","IAN119354","Dicotiledônea",NA,NA,"C.DC.",NA,"801","Distrito Federal",NA,"Matas do Zoobotânico, Brasília.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:46:50-03","EAO","IAN","139432","PreservedSpecimen","Plantae","Piperaceae","Piper","flavicans","Piper flavicans","Fonsêca, SG da","1968","10","06","Southern America","Brasil",NA,NA,"Arbusto de 1,30m de altura.","IAN139432","Dicotiledônea",NA,NA,"C.DC.","Callejas, R","1130","Mato Grosso","Xavantina","Base da Expedição a 15km ao sul na estrada Xavantina-São Félix. Ilha de cerrado.",NA,NA,NA,NA,NA,NA,NA,"1981","12",NA,NA,NA,NA,NA,NA
