"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01192855","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T. D. Pennington","R. A. X. Borges","688","2007","01","23","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacarecí. Daí 6 km SW na estrada para RPPN e torre da Embratel","-39.5653","-15.3917","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192855","NY01192855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886125","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T. D. Pennington","L. A. Mattos Silva","3619","1997","10","30","South America","Brazil","Bahia","Una","Fazenda São Rafael (antiga Faenda Dendhevea). Ramal à esquerda, aproximadamente a 1 km da Séde, rumo ao Córrego do Tucum.","-39.2481074","-15.2189248",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886125","NY00886125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885736","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","G. P. Lewis","S. C. de Sant'Ana","1098","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazenda São José, a 8.8 km de Boa Nova, na estrada para Dario Meira, a 1.4 km do ramal à esquerda.","-40.13","-14.38","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885736","NY00885736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01048784","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","F. Bonadeu da Silva","M. Sobral","5551","1987","03",NA,"South America","Brazil","Bahia","Ilhéus","Ramal da BR-415 de Ilhéus a Japu. Em desvio à esquerda no km 10.","-39.0492","-14.7892",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048784","NY01048784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469070","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T. D. Pennington","A. M. Amorim","2416","1998","05","09","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3km na estrada Serra Grande/Itacaré, Faz. Lagoa do Conjunto Faz. Santa Cruz","-39.2844009399414","-14.5930995941162",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469070","NY00469070_01","33791","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01192853","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T. D. Pennington","M. M. M. Lopes","1097","2006","10","03","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção a serra. Meio da encosta","-39.2028","-14.7703","600","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396235' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192853","NY01192853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","822339","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T. D. Pennington","J. G. Jardim","2598","2000","01","30","South America","Brazil","Bahia","Ilhéus","Mata da Esperança, parte W, acesso Rod. Ilhéus/Itabuna, Banco da Vitória.","-39.08333333","-14.775",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822339","NY00822339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:13:45-03","UNICAMP","UEC","108856","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","Garcia, FCP","Garcia, FCP; Carvalho, AM; Furlan, A","736","1995","03","12",NA,"Brazil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662","50","50",NA,"flor, Mata higrofila, arvoreta ca. de 8m alt., flores vermelhas, anteras amarelas, aroma doce.","UEC133954","UEC133954","61245","auto","1999","02",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:26:41-03","MBM","MBM","115835","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D. Penn.","Lima, H.C.; Iganci, J.","Sobral, M.; et al.; et al.","5551","1987","03",NA,"Southern America","Brazil","Bahia","Ilhéus","Ramal da BR 415 de Ilhéus a Japu","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Arvoreta 6-8nm em resto de mata em desvio à esquerda no Km 10 do ramal; fl. vináceas","MBM115835","MBM115835","61245","auto","2009","06","17",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-15 09:03:02-03","UESC","UESC","19173","S","Plantae",NA,NA,"Fabaceae (Mimosoideae)","Inga","grazielae","Inga grazielae","Vinha",NA,"Coelho, M.M.","600","2012","02","02",NA,"Brasil","Bahia","Almadina",NA,"-39.6","-14.7",NA,NA,NA,"Árvore com ca. De 5 m de alt.","UESC0019173",NA,NA,NA,NA,NA,NA,"39W36'0''","14S42'0''",NA,NA,NA,NA,NA
"11","2015-10-02 11:17:51-03","MNHN","RECOLNAT_MNHN_P","P01818340","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) Pennington [meant to make it!]",NA,"Santos, T.S. dos",NA,"1969","11","12",NA,"Brésil",NA,NA,"Itabuna - Bahia. Ba. Una. Faz. Sao Rafael",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818340' target='other'> <mi>dwc_moreinfo</mi></a>","P01818340","P01818340_01",NA,NA,NA,NA,NA,NA,NA,"488",NA,NA,NA,NA
"12","2015-09-04 02:29:35-03","MNHN","RECOLNAT_MNHN_P","P02947597","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) Pennington [meant to make it!]",NA,"Gottsberger, I.|Gottsberger, G.",NA,"1971","4","17",NA,"Brasil","Rio de Janeiro",NA,"Serra de Mantiqueira, Maciço do Itatiaia, Parque Nacional do Itatiaia ( Agulhas Negras. No caminho e no planalto do sopé de Agulhas Negras e Prateleiras.",NA,NA,"2200",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02947597' target='other'> <mi>dwc_moreinfo</mi></a>","P02947597","P02947597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-08-03 17:14:00-03","MO","MOBOT","101211711","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D. Penn.",NA,"Talmon S. dos Santos","Santos 488","1969","11","12","South America","Brazil","Bahia","Una","Faz. São Rafael.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA
"14","2020-11-10 04:40:00-03","MO","MOBOT","100884224","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D. Penn.","Carolina Romero (MO)","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu","Moraes 4250","2014","11","28","South America","Brazil","Bahia",NA,"Camacã. RPPN Serra Bonita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","2012-04-26 05:08:00-03","MO","MOBOT","3313519","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D. Penn.","D.A. Neill","André M. de Carvalho|F. Garcia|Antonio Furlan","Carvalho 6008","1995","3","12","South America","Brazil",NA,NA,"Mun. de Ilhéus. Cidade de Ilhéus. MATA DA ESPERANÇA. Ca. 2 km NNE do Banco da Vitória, na estrada que corre na borda oeste da mata, Mata Higrófila Sul Baiana perturbada.","-39.09111","-14.77722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3311066","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D. Penn.",NA,"A. M. Amorim, T. S. Santos, S. C. Sant'Ana & J. G. Járdim","969","1992","12","16","South America","Brazil",NA,NA,"Municipio de Itacare, Estrada Itacare a Taboquinhas, Ca 12 Km de Itacare, Mata Pertubada",NA,NA,NA,NA,NA,NA,"US02187969","US02187969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"17","2020-05-08 11:10:27-03","UEFS","HUEFS","145982","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","T.D.Pennington","Cardoso, D.","2411","2009","02","05",NA,"Brasil","Bahia","Medeiros Neto","Fazenda Graciosa. Propriedade de Geraldo Flores.","-40.196389","-17.343333",NA,NA,NA,"Borda de floresta semidecidual.","HUEFS0145982","HUEFS0145982 HUEFS0145982_01 HUEFS0145982_02",NA,NA,"2010",NA,NA,"40W11'47''","17S20'36''",NA,NA,NA,"Rosanae",NA
"18","2020-05-08 11:10:27-03","UEFS","HUEFS","15089","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","F.C.P.Garcia","Guedes, M.L.S.","2565","1992","02","18",NA,"Brasil","Bahia","Salvador",NA,"-38.416667","-12.95",NA,NA,NA,NA,"HUEFS0015089","HUEFS0015089",NA,NA,"1999","02",NA,"38W25'","12S57'",NA,NA,NA,"Rosanae",NA
"19","2020-05-08 11:10:27-03","UEFS","HUEFS","193982","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.",NA,"Gross, E.","178","2011","09","04",NA,"Brasil","Bahia","Elísio Medrado","Serra da Jibóia.","-39.539722","-12.889722","342","342",NA,NA,"HUEFS0193982","HUEFS0193982",NA,NA,NA,NA,NA,"39W32'23''","12S53'23''",NA,NA,NA,"Rosanae",NA
"20","2020-05-08 11:10:27-03","UEFS","HUEFS","215858","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.",NA,"Matos, E.","3571","2015","02","16",NA,"Brasil","Bahia","Uruçuca","Sítio Canto do Senhor","-39.046944","-14.489722",NA,NA,NA,"Floresta","HUEFS0215858","HUEFS0215858",NA,NA,NA,NA,NA,"39W2'49''","14S29'23''",NA,NA,NA,"Rosanae",NA
"21","2019-01-25 15:40:51-02","IAC","IAC","49785","S","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","E. Ramos et al.","E. Ramos; H.R. Gonçalves & S. Santos","508","2007","10","01",NA,"Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H","-45.81652","-23.73388",NA,NA,NA,"Subparcela 43, Indivíduo H0667",NA,NA,NA,NA,"2007","10","01","-45.81652","-23.73388",NA,NA,NA,NA,NA
"22","2019-02-13 12:28:39-02","IAC","IAC","49310","S","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","E.D. Silva","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti","434","2006","12","04",NA,"Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080223","-23.373498",NA,NA,NA,"Subparcela 45, indivíduo G 757",NA,NA,NA,NA,"2007","12","02","-45.080223","-23.373498",NA,NA,NA,NA,NA
"23","2019-06-24 08:12:59-03","IAC","IAC","51964","S","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae","(Vinha) T.D.Penn.","E. Ramos et al.","E. Ramos; M. Eltink; J.F. Benedito & S. Santos","644","2009","11","07",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Fazenda Capricórnio","-45.081652","-23.373388",NA,NA,NA,"Parcela H, subparcela 43, indivíduo n° 667",NA,NA,NA,NA,"2009","11","07","-45.081652","-23.373388",NA,NA,NA,NA,NA
"24","2020-07-23 12:07:40-03","CEPLAC","CEPEC","127812","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae",NA,"Sem Informação","Perdiz, R. de O.","683","2010","05","22",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada.","-39.536111","-14.770833",NA,NA,NA,"Fotos. Det: R. Perdiz 06/2010",NA,NA,NA,NA,NA,NA,NA,"39W32'10","14S46'15",NA,NA,NA,NA,NA
"25","2020-07-23 12:07:40-03","CEPLAC","CEPEC","110001","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","grazielae","Inga grazielae",NA,"Sem Informação","Jardim, J. G.","4879","2005","12","18",NA,"Brasil","Bahia","arataca","Rod. Arataca/Una entrada à direta no assentamento Santo Antônio 9,5 km, vicinal para a Fazenda Palmeira 8,9km da entrada. Serra do Peito de Moça, RPPN Palmeira/IESB. Trilha que leva ao topo da serra.","-39.339444","-15.174167","500","500",NA,"Foto.",NA,NA,NA,NA,NA,NA,NA,"39W20'22","15S10'27",NA,NA,NA,NA,NA
"26","2020-07-23 12:14:20-03","CEPLAC","CEPEC","53534","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","grazielae","Inga grazielae",NA,"H. C. Lima","W. W. Thomas","8177","1991","07","01",NA,"Brasil","Bahia","URUÇUCA","7.3Km ao N de Serra Grande n Rod. p/ Itacaré. Fazenda Lagoa. Parcela: 30. Árvore # 1359.","-39.016667","-14.416667",NA,NA,NA,"<ll>dwc_commonname:</ll> Ingazeira",NA,NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA,NA,"30/06/2009"
"27","2020-07-23 12:14:20-03","CEPLAC","CEPEC","86657","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","grazielae","Inga grazielae",NA,"H. C. Lima","W. W. Thomas","12108","2000","03","22",NA,"Brasil","Bahia","ITACARÉ","14Km S de Itacaré, na Rod. p/ Ilhéus depois 6,5Km ao S de Alto da Esperança/Campo Cheiroso.","-39.033333","-14.383333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W2'","14S23'",NA,NA,NA,NA,"30/06/2009"
"28","2020-07-23 12:14:20-03","CEPLAC","CEPEC","96062","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","grazielae","Inga grazielae",NA,"H. C. Lima","S. C. de Sant'Ana","1098","2004","03","09",NA,"Brasil","Bahia","BOA NOVA","Fazenda São José, a 8,8Km da cidade, na estrada para Dário Meira, a 1,4Km do rama a esquerda.","-40.2075004577637","-14.3625001907349",NA,NA,NA,NA,NA,NA,"31265","auto",NA,NA,NA,"40W8'76","14S23'74",NA,NA,NA,NA,"30/06/2009"
"29","2020-07-23 12:14:20-03","CEPLAC","CEPEC","56887","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","grazielae","Inga grazielae",NA,"F. C. P. Garcia","A. M. Amorim","905","1996","03","18",NA,"Brasil","Bahia","ITACARÉ","6Km da estrada Itacare/Taboquinhas. Loteamento da Marambaia.","-38.9967002868652","-14.2775001525879",NA,NA,NA,NA,NA,NA,"41230","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/02/1999"
