"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","687166","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers","H. E. Luther","W. W. Thomas","12553","2001","10","23","South America","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR 116 to road (at Churrascaria Corujão), then 7.2 km W","-40.191133","-13.942033","775","775","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687166","NY00687166_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:43:34-03","UFMG","BHCB","167200","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers",NA,"Machado, TM; Gomides, SC","559","2013","11","25","Southern America","Brasil","São Paulo","Alvarenga","Pico da Aliança, Trilha para o Pico da Aliança.","-41.668611","-19.395556","1485","1485",NA,"Rupícola em paredão de rocha, poucos indivíduos, folhas acinzentadas, brácteas do escapo verde com ápice avermelhado, frutos verdes.","BHCB048802",NA,"-41.668611","-19.395556",NA,NA,NA,NA,NA,NA
"3","2021-03-04 11:04:42-03","UFRB","HURB","5940","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers","M.M.Leodegário & E.H.Souza","Aona, L.Y.S.; Fonseca, W.O & Simões, S.S.","2824","2013","07","20",NA,"Brasil","Bahia","Ubirataia","Mata próxima a Torre, entre os povoados Mineiros e Algodão; Trilhas na fazenda do Sr Juju","-39.690833","-13.891111","710","710",NA,NA,"HURB000005940",NA,"39°41'27'' W","13°53'28'' S","2019","09",NA,NA,NA,NA
"4","2021-03-04 11:04:42-03","UFRB","HURB","23997","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers",NA,"Souza, E.H.; Cavalcante, B.P.; Resende-Silva, K.; Martins, J.","170","2018","07","10",NA,"Brasil","Bahia","Palmeiras","Margem direita da Rodovia 242; Sentido Palmeiras (Morro do Pai Inácio)","-41.471694","-12.457278",NA,NA,NA,"Acesso Incorporado ao BGB 43 Embrapa Mandioca e Fruticultura. Planta rupícola/ epífita em Vellozia sp., flores rosas.","HURB000023997","HURB000023997","41º28'18,1W","12º27'26,2S",NA,NA,NA,NA,NA,NA
"5","2021-03-04 11:04:42-03","UFRB","HURB","17894","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers",NA,"Souza, E.H.",NA,"2017","07","01",NA,"Brasil","Bahia","Brejões","Distrito Serrana;","-39.7957992553711","-13.1043996810913",NA,NA,NA,"Acesso coletado e incorporado ao Banco Ativo de Germoplasma de Bromélias (BGB-292).","HURB000017894",NA,NA,NA,NA,NA,"22023","auto",NA,NA
"6","2021-03-04 11:04:42-03","UFRB","HURB","13540","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers","E.H.Souza","Fontoura, T.","453","2000","04","21",NA,"Brasil","Bahia","Una","Região próxima a fazenda do Sr. José Raimundo.;","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"HURB000013540",NA,NA,NA,"2020","12","36070","auto",NA,NA
"7","2019-11-13 11:17:07-03","USP","SPF","206181","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers","Leodegario, MM; Souza, EH","Ferreira, FM","1578","2007","10","23",NA,"Brasil","Bahia","Boa Nova",NA,"-40.25","-14.361111","915","915",NA,NA,"SPF00206181",NA,"-40.25","-14.361111","2019","07",NA,NA,NA,NA
"8","2021-03-15 18:26:13-03","USP","SPF","232534","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri","Ehlers","Vasconcelos, R","Gonella, PM","695","2014","07","09",NA,"Brasil","Minas Gerais","Alvarenga","Pico da Aliança, No topo do pico.","-41.691472","-19.395339","14","14",NA,"Ervas com folhas prateadas, brácteas rosadas a amareladas. Crescendo diretamente em arenito.; Campo rupestre. Afloramentos de arenito, solo arenoso.","SPF00232534",NA,"-41.691472","-19.395339","2014",NA,NA,NA,NA,NA
"9","2020-07-23 12:01:00-03","CEPLAC","CEPEC","117942","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri",NA,"E.H.Souza","Ferreira, F. M.","1578","2007","10","23",NA,"Brasil","Bahia","BOA NOVA","Faz. Pioneira ao S de Boa Nova, estrada entre Boa Nova e a BR 116, 5km no ramal à direita, sentido BR 116.","-40.25","-14.351111","915","915",NA,NA,NA,NA,"40W14'60","14S21'4",NA,NA,NA,NA,NA,NA
"10","2020-07-23 12:01:00-03","CEPLAC","CEPEC","121744","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","heubergeri","Tillandsia heubergeri",NA,"E.H.Souza","Ferreira, F. M.","1878","2007","11","17",NA,"Brasil","Bahia","Brejões","Faz. Lagoa do Morro","-39.901944","-13.099722","882","882",NA,NA,NA,NA,"39W54'7","13S5'59",NA,NA,NA,NA,NA,NA
