"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","infraspecificEpithet","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2016-10-28 16:50:00-02","NY","NYBG","884657","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. R. Swallen","7545","1945","11","30","South America","Brazil","Rio Grande do Sul","Fazenda Experimental de Criacão Bagé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884657","NY00884657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-28 16:50:00-02","NY","NYBG","884656","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. R. Swallen","7655","1945","12","10","South America","Brazil","Rio Grande do Sul","Uruaguaiana, Posto Zootecnico.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884656","NY00884656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 14:49:00-02","NY","NYBG","627793","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","W. D. Clayton","4372","1965","01","27","South America","Brazil","Rio Grande do Sul","Morro Santa Teresa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627793","NY00627793_01","H. M. Longhi-Wagner","Porto Alegre","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:49:00-02","NY","NYBG","627794","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Aristida","laevis","Aristida laevis","W. D. Clayton","4413","1965","01","28","South America","Brazil","Rio Grande do Sul","Montenegro to Estrela","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627794","NY00627794_01","H. M. Longhi-Wagner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","627772","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. A. Steyermark","97607","1967","03","11","South America","Venezuela","Yaracuy","Along trail north of Nirgua, leading to Cerro El Picacho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627772",NA,NA,NA,NA,NA,"(Nees) Kunth","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:48:00-02","NY","NYBG","627764","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. R. Swallen","7603","1945","12","05","South America","Brazil","Rio Grande do Sul","Fazenda Experimental de Criaçao Bagé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627764","NY00627764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 14:48:00-02","NY","NYBG","627765","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. R. Swallen","7607","1945","12","05","South America","Brazil","Rio Grande do Sul","Fazenda Experimental de Criaçao Bagé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627765","NY00627765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","627791","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","J. da Costa Sacco","235","1954","10","12","South America","Brazil","Rio Grande do Sul","I.A.S. - Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627791","NY00627791_01","H. M. Longhi-Wagner","Pelotas","-52.3422","-31.7719","(Nees) Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 15:27:00-03","NY","NYBG","627771","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","B. Rosengurtt","11157","1969","12","17","South America","Uruguay","Rocha","Parque Nat. Santa Teresa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 15:27:00-03","NY","NYBG","627795","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","laevis","Aristida laevis","L. B. Smith","8252","1956","12","04","South America","Brazil","Santa Catarina","Ponte Alta","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627795","NY00627795_01","H. M. Longhi-Wagner","Curitibanos","-50.5842","-27.2831",NA,"800","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
