"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:12-03","UNESC","CRI","10246","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","M. G. Caxambu","2008","10","16","M. G. Caxambu","2283","2008","10","06","Brasil","Paraná","Campo Mourão","Parque Estadual Lago Azul. (PELA)","-52.313056","-24.101667","52º18'47''W","24º6'6''S","557","557","Rupícola. Flores com cálice verde-claro e corola alva. (HCF 10246) Habito: Arbustivo","CRI013797","CRI013797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","787050","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","M. H. Nee",NA,NA,NA,"M. H. Nee","47997","1998","01","16","Bolivia","Santa Cruz","Florida","2 km (by road) NNE from Achiras Camping resort on steep gravel road to Banegas and Barrientos.","-63.82","-18.13",NA,NA,"1475","1475","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787050",NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","387036","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz",NA,NA,NA,NA,"A. Amaral","47","1985","10","17","Brazil","São Paulo","Botucatu","Rodovia que liga Vitoriana à Santa Maria do Araquá","-48.4397","-22.88",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387036","NY00387036_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","387037","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz",NA,NA,NA,NA,"L. R. H. Bicudo","232","1985","12","18","Brazil","São Paulo","Botucatu","Rodovia municipal (estrada..Roberto), que liga Vitoriana ao Rio Bonito Campo e Náutica, Fa(..) Gold Farm","-48.28","-22.8",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387037","NY00387037_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","822905","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","T. C. Plowman",NA,NA,NA,"J. C. Lindeman","3417","1966","11","26","Brazil","Paraná",NA,"Parque Nacional do Iguçu, ca. 10 km SE of Jardinópolis.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822905","NY00822905_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997138","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","48433","1984","10","14","Brazil","Mato Grosso do Sul","Amambaí","rod. p/Cel Sapucaia.","-55.2256","-23.1044",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997138","NY00997138_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","387043","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","T. C. Plowman",NA,NA,NA,"W. Hoehne","3748","1951","10","28","Brazil","São Paulo","Jales","Jales: Pastos do Retiro","-50.548731","-20.268919",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387043","NY00387043_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997139","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz",NA,NA,NA,NA,"A. Amaral","223","1998","10","15","Brazil","Mato Grosso do Sul","Anaurilândia","MS 274, à + ou -30 km de Bataguassu. Distrito de Quebracho. Divisa Bataguassu-Anaurilândia. Córrego Quebracho.","-52.5097","-21.9964",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997139","NY00997139_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","387044","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","T. C. Plowman",NA,NA,NA,"W. Hoehne","1904","1945","10","22","Brazil","São Paulo","Caieiras","Sao Paulo. Caieiras","-46.740798","-23.374672",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387044","NY00387044_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","787053","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","cuneifolium","Erythroxylum cuneifolium","(Mart.) O.E.Schulz","M. H. Nee",NA,NA,NA,"M. H. Nee","48088","1998","01","22","Bolivia","Santa Cruz","Andrés Ibáñez","Along valley of Río Salado [also Quebrada Salada], 7.4-8 km NW of turnoff at Tarumá from highway from Santa Cruz to Samaipata.","-63.52","-18.1",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787053",NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
