"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","03066044","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","M. Gomes","1108","2015","05","05","South America","Brazil","Rio de Janeiro","Saquarema","Reserva Ecológica de Jacarepiá. próximo à estrada interna. x","-42.4522222","-22.9258334","3","3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287179' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066044","NY03066044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:33-03","EAO","IAN","192","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Glaziou, AFM","5883",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN000192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:23:21-03","UFBA","ALCB","59464","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Jardim, JG; Juchum, F; Sant'Ana, SC de; Santos, B; Querino, R","3378","2001","04","01","Southern America","Brasil","Bahia","Malhada","Rod. BR-030 Malhada/Palmas de Monte Alto, 19,2km da sede municipal.","-43.610833","-14.286389","500","500",NA,"Ca. 6m de alt. Folhas verde-escura na face superior e face inferior mais clara. Fruto imaturos de cor ferrugínea.; Árborea.",NA,NA,"Borges, RL","2015","06","-43.610833","-14.286389",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:15:58-03","ESALQ","ESA","140849","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Andrade, R.C.; Koch, I.; Rodrigues, R.R.; Souza, V.C; Brito, A.C.S.; Cardinelli; L.S.; Le Bourlegat, J.M.G.; Zaniratto, C.P.",NA,"2017","04","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Trilha do Palmito, Base dos Fuzileiros Navais, Ilha do Governador","-43.1625","-22.7783",NA,NA,NA,"Árvore, 6 m","ESA140849",NA,"Shimizu, G.H.","2017","06","-43.1625","-22.7783","23",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:15:58-03","ESALQ","ESA","140854","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Andrade, R.C.; Koch, I.; Rodrigues, R.R.; Souza, V.C; Brito, A.C.S.; Cardinelli; L.S.; Le Bourlegat, J.M.G.; Zaniratto, C.P.",NA,"2017","04","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Trilha do Palmito, Base dos Fuzileiros Navais, Ilha do Governador","-43.1625","-22.7783",NA,NA,NA,"Árvore, 12 m","ESA140854",NA,"Shimizu, G.H.","2017","06","-43.1625","-22.7783","23",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:18:06-03","ESALQ","ESA","112248","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Alseis","involuta","Alseis involuta",NA,"Flores, T.B.","931.0",NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA112248","ESA112248",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"7","2020-11-04 12:15:58-03","ESALQ","ESA","135769","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K. Schum.","L. Quintanilha","108.0","2012","10","03",NA,"Brasil","Rio de Janeiro","Iguaba Grande",NA,"-42.2289009094238","-22.8391990661621",NA,NA,NA,NA,"ESA135769",NA,NA,NA,NA,NA,NA,NA,"5839","auto",NA,NA,NA,NA
"8","2021-03-31 13:41:32-03","MN","R","212236","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K. Schum.","Gomes, M.","817","2004","09","06",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749",NA,NA,NA,NA,NA,NA,"Gomes, M.",NA,NA,NA,NA,NA,"25964","auto",NA,NA,NA,NA
"9","2015-07-02 14:03:56-03","JBP","HPL","13190","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta",NA,"T.B. Flores, G. Siqueira, R. Jesus","931","2010","10","25",NA,"Brasil","ES","Linhares","Reserva Natural Vale, BR 101, perto da entrada da RNV.","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"10","2020-12-20 21:19:14-03","UFV","VIC","27016","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Peixoto, G.L.; Muniz, M.V.O.","7","2001","04","30",NA,"Brasil","Rio de Janeiro","Pedra de Guaratiba","APA Serra da Capeira Grande",NA,NA,NA,NA,NA,"Árvore de 10 m de altura e 10 cm de DAP, com flor e frutos.","VIC027016","VIC027016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-04-27 16:11:22-03","UFES","VIES","22563","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Gomes, J.M.L.","3727","2011","04","23",NA,"Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES022563","VIES022563","Gomes, J.M.L.","2011","04",NA,NA,"23","48094","auto",NA,NA,NA,NA
"12","2019-06-27 10:26:34-03","UFES","VIES","11670","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Flores, T.B.; Siqueira, G. & Jesus, R.","931","2010","10","25",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES011670","VIES011670","Flores, T.B.",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"13","2020-06-29 09:31:54-03","UFRRJ","RBR","11348","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","D. Sucre","3613","1968","08","25",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Ilha Furtada / Baía de Septiba","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RBR00011348",NA,"Mario","1994","05",NA,NA,"04","57442","auto",NA,NA,NA,NA
"14","2020-06-29 09:31:54-03","UFRRJ","RBR","22510","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","D. Sucre","2827","1969","05","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Itaípu","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RBR00022510",NA,"Mario","1994","05",NA,NA,NA,"57442","auto",NA,NA,NA,NA
"15","2020-06-29 09:31:54-03","UFRRJ","RBR","5779","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","D. Sucre","1357","1967","01","17",NA,"Brasil","Rio de Janeiro","Cabo Frio","Morro do lado do canal de Cabo Frio","-42.0186004638672","-22.8794002532959",NA,NA,NA,NA,"RBR00005779",NA,"D. Sucre","1967","01",NA,NA,NA,"40069","auto",NA,NA,NA,NA
"16","2020-06-29 09:31:54-03","UFRRJ","RBR","13907","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","G.L. Peixoto; M.V.O. Muniz","s.n.","2001","04","30",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pedra de Garatiba, APA de Serra da Capoeira Grande.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RBR00013907",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"17","2020-06-29 09:31:54-03","UFRRJ","RBR","33095","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","C. Farney; J.C. Gomes","1290","1986","12","08",NA,"Brasil","Rio de Janeiro","Saquarema","Restinga de Ipitangas, Mata de Restinga próxima ao Loteamento Vilatur Saquarema.","-42.5102996826172","-22.9200000762939",NA,NA,NA,NA,"RBR00033095",NA,"C. Farney","1987","01",NA,NA,"12","17036","auto",NA,NA,NA,NA
"18","2020-06-29 09:31:54-03","UFRRJ","RBR","33096","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","C. Farney","3217","1990","07","23",NA,"Brasil","Rio de Janeiro","Saquarema","Restinga Ecológica Estadual de Jacarepiá, Mata de Restinga. 22°07#?# S / 42°06#?# W","-42.5102996826172","-22.9200000762939",NA,NA,NA,NA,"RBR00033096",NA,NA,NA,NA,NA,NA,NA,"17036","auto",NA,NA,NA,NA
"19","2020-06-29 09:31:54-03","UFRRJ","RBR","33094","S","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","M. Gomes","625","1994","01","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Restinga Ecológica Estudual de Jacarepiá, Mata de Restinga; Clareira em regeneração.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RBR00033094",NA,"M. Gomes",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"20","2020-12-21 16:42:53-03","MBM","MBM","398299","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K. Schum.","Quintanilha, L.; Lobão, A.; Lobão, A.","108","2012","10","03","Southern America","Brazil","Rio de Janeiro","Iguaba Grande","BR 106","-42.2289009094238","-22.8391990661621",NA,NA,NA,"Árvore, ca. 4,5m de altura, flor com cálice verde, folhas aveludadas, frutos maduros marrons.; Floresta Estacional Semidecidual.","MBM398299","MBM398299",NA,NA,NA,NA,NA,NA,"5839","auto",NA,NA,NA,NA
"21","2015-09-04 16:30:05-03","MNHN","RECOLNAT_MNHN_P","P04934650","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Alseis","involuta","Alseis involuta","K.Schum.","Glaziou",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Morro do Calhao, et Corcovado.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04934650' target='other'> <mi>dwc_moreinfo</mi></a>","P04934650","P04934650_01",NA,NA,NA,NA,NA,NA,NA,NA,"750",NA,NA,NA
