"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","872449","PreservedSpecimen","Plantae","Pinophyta","Podocarpales","Podocarpaceae","Podocarpus","barretoi","Podocarpus barretoi","de Laub. & Silba","J. Silba","W. R. Anderson","6602","1973","03","07","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 3 km E of Alto Paraíso on road to Nova Roma.","-47.4976","-14.0977","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872449","NY00872449_01",NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","872447","PreservedSpecimen","Plantae","Pinophyta","Podocarpales","Podocarpaceae","Podocarpus","barretoi","Podocarpus barretoi","de Laub. & Silba",NA,"H. S. Irwin","32840","1971","03","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso","-47.5167","-13.93593","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872447","NY00872447_01",NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","872448","PreservedSpecimen","Plantae","Pinophyta","Podocarpales","Podocarpaceae","Podocarpus","barretoi","Podocarpus barretoi","de Laub. & Silba","J. Silba","H. S. Irwin",NA,NA,NA,NA,"South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872448","NY00872448_01",NA,NA,NA,NA
"4","2020-12-11 11:43:09-03","UFMG","BHCB","199105","PreservedSpecimen","Plantae","Gimnosperm",NA,"Podocarpaceae","Podocarpus","barretoi","Podocarpus barretoi","de Laub. & Silba",NA,"Brina, AE","s.n.","2018","02","22","Southern America","Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.705","-20.481667","1337","1337",NA,"Coordenadas aproximadas","BHCB199105",NA,"2018","03","-43.705","-20.481667"
