"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag"
"1","2019-11-21 14:40:39-03","UFJF","CESJ","59973","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","L. Menini Neto","2012","05","20","S.G. Furtado; L. Menini Neto","53","2012","05","19","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Mata de Araucária, às margens do Rio do Charco. 22°08'23S, 44°43'41'W, ca. 1640 m.s.m.","-44.728056","-22.139722","-44.728056","-22.139722","1640","1640","Epífita em Podocarpus, rara, pseudobulbo e folhas verde escuro, flores alvas, mácula amarela na base do lacelo, aromática.","CESJ059973",NA,NA
"2","2019-11-21 14:40:39-03","UFJF","CESJ","60186","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","L. Menini Neto; S.G. Furtado","2012","07","06","S.G. Furtado; L. Menini Neto","71","2012","07","06","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista, Mata do Cambuí, próximo ao Garrafão.","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"Erva epífita. Flor passada.","CESJ060186","29865","auto"
"3","2021-02-08 12:52:10-03","UFRGS","ICN","031318","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Waechter, JL","243","1976","04","17","América do Sul","Brasil","RS","Cambará do Sul","Morro Agudo","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Coletada com botões; floresce em maio; flores brancas com mancha amarelo no labelo","ICN00039358","30776","auto"
"4","2021-02-08 12:52:10-03","UFRGS","ICN","189517","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Buzatto, CR","542","2009","07","04","América do Sul","Brasil","RS","Cambará do Sul","Parque Nacional dos Aparados da Serra Itaimbezinho","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Epífita em Podocarpus lambertii","ICN00039364","30776","auto"
"5","2021-02-08 12:52:10-03","UFRGS","ICN","157714","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Buzatto, CR","397","2008","10","25","América do Sul","Brasil","RS","Cambará do Sul","caminho São José dos Ausentes próximo Cambará S/A","-50.055278","-28.938889","-50.055278","-28.938889",NA,NA,NA,"ICN00039152",NA,NA
"6","2021-02-08 12:52:10-03","UFRGS","ICN","061289","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Waechter, JL","2011","1984","10","06","América do Sul","Brasil","RS","Bom Jesus","Fazenda Caraúna","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"Epífito em interior de capão.","ICN00039360","55856","auto"
"7","2021-02-08 12:52:10-03","UFRGS","ICN","189514","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Buzatto, CR","537","2009","06","22","América do Sul","Brasil","RS","Cambará do Sul","caminho Parque Nacional Serra Geral (10Km depois da cidade 5Km antes parque próximo Mala & Cuia)","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,NA,"ICN00039363","30776","auto"
"8","2021-02-08 12:52:10-03","UFRGS","ICN","047703","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Waechter, JL","1620","1980","06","23","América do Sul","Brasil","RS","Cambará do Sul","Pq. Nac. dos Aparados da Serra","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Epifito de Pinheiroi-bravo (Podocarpus lambertii) isolado, próximo ao arroio Perdiz,crescendo entre musgos, hepáticas e líquens; flores brancas com macha amarela entre as calosidades do labelo.","ICN00039359","30776","auto"
"9","2021-02-08 12:52:10-03","UFRGS","ICN","157724","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR",NA,NA,NA,"Buzatto, CR","420","2008","10","28","América do Sul","Brasil","SC","Urubici","estrada Morro da Igreja","-49.378333","-28.050833","-49.378333","-28.050833",NA,NA,NA,"ICN00039357",NA,NA
"10","2021-02-08 12:52:10-03","UFRGS","ICN","189510","S","Plantae","Monocotyledon","Orchidaceae","Capanemia","adelaidae","Capanemia adelaidae","Brade","Buzatto, CR; Singer, RB",NA,NA,NA,"Buzatto, CR; Singer, RB","491","2009","01","16","América do Sul","Brasil","RS","São José dos Ausentes","caminho Serra da Rocinha","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"Mantido em cultivo até 6/7/2009","ICN00039362","42598","auto"
