"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","805187","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii","(Hieron.) H.Rob.","P. K. H. Dusén","16706","1915","02","17","South America","Brazil","Paraná","Jaguariahyva","-49.713647","-24.340602","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805187","NY00805187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805184","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii","(Hieron.) H.Rob.","O. dos S. Ribas","1750","1997","02","11","South America","Brazil","Paraná","Rio Samambaia.","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805184","NY00805184_01","H. E. Robinson","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805189","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii","(Hieron.) H.Rob.","F. C. Hoehne","20361","1927","05","17","South America","Brazil","São Paulo","Itapira","-46.809771","-22.434053",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=12106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805189","NY00805189_01",NA,"Itapira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","805190","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii","(Hieron.) H.Rob.","C. Duarte","11?",NA,NA,NA,"South America","Brazil",NA,"Locality unspecified on label",NA,NA,NA,NA,"sheet","Ex Herv. M. Paulista s/No <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805190","NY00805190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","805188","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii","(Hieron.) H.Rob.","G. G. Hatschbach","21585","1969","05","20","South America","Brazil","Paraná","Fda. Lagoa.","-52.6047","-23.6633",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805188","NY00805188_01",NA,"Cianorte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 13:04:00-03","NY","NYBG","805186","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii",NA,"E. Schwindt","3252","1950","03","01","South America","Argentina","Misiones","Ruta 14 km 304. Prox. Arroyo Chaparia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805186",NA,NA,"Guaraní",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 13:04:00-03","NY","NYBG","805185","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","niederleinii","Lessingianthus niederleinii",NA,"A. L. Woolston","1309","1953",NA,NA,"South America","Paraguay","Alto Paraguay","Depto. San Pedro: Primavera",NA,NA,NA,NA,"sheet","No field notes. cf. No. 133 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:17-03","EAO","IAN","159727","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","niederleinii","Vernonia niederleinii","Hieron.","Montes, JE","1740","1946","01","07","Southern America","Argentina",NA,"Misiones. Lugar alto.",NA,NA,NA,NA,NA,"Arbusto de 1,50 a 2,50m de altura; f. an. Fl. mor. Hab: abra. Escasso.","IAN159727",NA,"Ana, S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:37:11-03","EAO","IAN","23758","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","niederleinii","Vernonia niederleinii","Hieron.","Mederlein","481",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,"IAN023758","IAN023758_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:52:13-03","NBC","NL-BOTANY","L.3660457","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","niederleinii","Vernonia niederleinii","Hieron.","Pedersen TM",NA,"1972","03","29","Southern America","Paraguay",NA,"Colonia Independencia, Dep. Quairá.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3660457 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3660457","NL-L3660457",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
