"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:03-03","UNESC","CRI","9008","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","Marcos Sobral","2010","09","29","M. Verdi; E. M. Martins e O. N. Veiga","5480","2010","08","24","Brasil","Paraná","Morretes","Olimpo / Parque Estadual Pico Marumbi.","-48.923333","-25.442222","48º55'24''W","25º26'32''S","Floresta Ombrófila Densa Habito: arbusto","CRI009166","CRI009166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:59-03","UNESC","CRI","14997","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","Costa, C.B.","2017","10","30","Schwirkowski, P.","2535","2017","10","30","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Serra Dona Francisca. Trilha do Castelo dos Bugres, descendo o rio.","-49.058056","-26.221111","49º3'29''W","26º13'16''S","Flores brancas Habitat: Borda de trilha Habito: Árvore","CRI014363","CRI014363","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:03-03","E","E","305250","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana",NA,NA,NA,NA,NA,"Cordeiro, J.; Cruz, J.M.","1430","1997","03","20","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305250",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:311593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","887161","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"L. Rossi","2156","2000","09","16","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha dos Tropeiros.","-45.4097","-23.6203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887161",NA,"60","150","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","799070","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"G. G. Hatschbach","4257","1957","10","12","Brazil","Paraná","Campina Grande do Sul","Morro Anhangaua, Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799070",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","799069","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"R. Reitz","10055","1960","10","07","Brazil","Santa Catarina","Sao Francisco do Sul","Morro do Campo Alegre, Sao Francisco do Sul","-48.6381","-26.2433",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799069",NA,"1300","1300","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396545","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"Y. E. J. Mexia","5301","1930","11","14","Brazil","Minas Gerais",NA,"Districto Rio Branco. Retiro de Antonio Avelino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396545",NA,"750","750","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396542","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"R. M. Klein","1666","1955","10","07","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396542",NA,"30","30","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","799068","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.","P. G. Delprete",NA,NA,NA,"R. Reitz","5592","1957","11","06","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799068",NA,"650","650","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396547","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","brasiliana","Chomelia brasiliana","A.Rich.",NA,NA,NA,NA,"A. C. Cervi","2585","1988","11","26","Brazil","Paraná","Morretes","Estrada da Graciosa, Serra do Mar","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396547",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
