"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02056591","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pachira","endecaphylla","Pachira endecaphylla","(Vell.) Carv.-Sobr.","T. M. Macedo","J. Spada","40/78","1978","02","03","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. BRA UNA-PRETA, ant. 243, km 1.550, talhão 405.","-40.0722007751465","-19.3910999298096","48094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2660522' target='other'> <mi>dwc_moreinfo</mi></a>","NY02056591","NY02056591_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402535","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pachira","stenopetala","Pachira stenopetala","Casar.","J. A. Kallunki","Dr. Mertens",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402535","NY00402535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:09-03","UFRJ","RFA","31776","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Bombacopsis","stenopetala","Bombacopsis stenopetala","(Casar.) A.Robyns","Sebastião José Silva Neto","Vânia Alves Garcia","s.n.","1998","12","00",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Levy Gastarian, Fazenda Amazonas, Mata Boa Vista","-43.191667","-22.041667",NA,NA,"Mate","RFA20599",NA,NA,"2000","43º11'30''W","22º2'30''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:15-03","UFRJ","RFA","31324","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Bombacopsis","stenopetala","Bombacopsis stenopetala","(Casar.) A.Robyns","C.M.Oliveira","C.M.Vieira; M.A.Louzada, I.Aximoff & J.C.Gomes","1487","2003","02","25",NA,"Brasil","Rio de Janeiro","Silva Jardim","REBIO Poço das Antas, proximidades da trilha para a Pelonha","-42.3917007446289","-22.6508007049561","29995",NA,"Coleta da amostragem fitossociológica. Parcela A; ind: 33 Altura: 28 m; Cap: 144 cm","RFA20513",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:12:57-03","ESALQ","ESA","10105","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pachira","endecaphylla","Pachira endecaphylla",NA,"Macedo, T.M.","Ettori Jr., O.",NA,"1993","01","07",NA,"Brasil","São Paulo","Piracicaba","ESALQ","-47.6399993896484","-22.7199993133545","44778",NA,"Fl","ESA010105",NA,"auto","2014",NA,NA,"04","10",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:12:57-03","ESALQ","ESA","102014","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pachira","endecaphylla","Pachira endecaphylla","(Vell.) Carv.-Sobr.","Carvalho Sobrinho, J.G.","Tsuji, R.","1543.0","2007","01","26",NA,"Brasil","Espírito Santo","Valério",NA,NA,NA,NA,NA,NA,"ESA102014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:57-03","ESALQ","ESA","9884","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pachira","endecaphylla","Pachira endecaphylla",NA,"Macedo, T.M.","Zandoval, J.A.","50.0","1984","01","16",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545","44778",NA,NA,"ESA009884",NA,"auto","2014",NA,NA,"04","10",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:31-03","MN","R","7714","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Bombacopsis","stenopetala","Bombacopsis stenopetala","(Casar.) A. Robyns","Santos,E.","Glaziou, A.F.M.","2502","1868","03","26",NA,"Brasil","Rio de Janeiro",NA,"Passeio Público",NA,NA,NA,NA,"Plantas do Brasil Central","R000007714","R000007714_001",NA,"1964",NA,NA,"06","11",NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:02:45-03","JBP","HPL","6966","S","Plantae",NA,NA,"Malvaceae","Pachira","endecaphylla","Pachira endecaphylla","(Vell.) Carv.-Sobr.","T.M. Macedo","R. Tsuji, H. Lorenzi et al.","1543","2007","01","26",NA,"Brasil","ES","Valério","Coletado na saída da cidade 18°58'57,7''S; 40°24'25,4''W",NA,NA,NA,NA,NA,NA,NA,NA,"2014",NA,NA,"02","05",NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:35:11-02","IPA","IPA","8463","S","Plantae","Plantae",NA,"Bombacaceae","Bombacopsis","stenopetala","Bombacopsis stenopetala","(Casar.) Robyns","Bocage, A.","Ducke, A.","2443","1955","03","05","Southern America","Brasil","Ceará",NA,"Serra do Maranguape, Terço inferior, estrada do riacho Pirapora, mata.",NA,NA,NA,NA,"Árvore média; flor verde com estames brancos.","IPA0008463","IPA0008463",NA,"2000",NA,NA,"12","20",NA,NA,NA,NA,NA,NA,NA
