"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","245883","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki","isotype","J. A. Kallunki","711","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house","-40.3333015441895","-19.2649993896484","22148","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245883","NY00245883_01","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","245882","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki","isotype","J. A. Kallunki","711","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house","-40.3333015441895","-19.2649993896484","22148","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245882","NY00245882_01","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-02-12 18:12:30-03","UFES","VIES","36720","S","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Gurtler, J.; Morais, Q.S.; Amaral, R.N.","JAC 238","2017","10","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P8).","-40.439722","-18.781111",NA,NA,NA,"VIES036720","VIES036720",NA,"40º26'23''W","18º46'52''S",NA,NA,NA,NA,NA
"4","2021-02-12 18:12:30-03","UFES","VIES","36746","S","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Gurtler, J.; Lirio, G.S.","JAC 264","2017","11","22",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P10).","-40.439167","-18.783611",NA,NA,NA,"VIES036746","VIES036746",NA,"40º26'21''W","18º47'1''S",NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1838411","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki","Holotype","Jacquelyn A. Kallunki","Kallunki 711","1995","4","21","South America","Brazil","Espírito Santo",NA,"Rio Bananal. Fazenda São Jorge, 18 km. from church in Bananal on paved road from Bananal to Novo Brazil, behind house. Disturbed forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-16 18:32:00-03","USP","SPF","104456","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki","holotype","Kallunki, JA; Pirani, JR; Fernandes, JB","711","1995","04","21",NA,"Brasil","Espírito Santo","Rio Bananal","Fazenda São Jorge, 18 Km from church in Bananal on paved road from Bananal to Novo Brazia, behind house. Disturbed forest.","-40","-19.2",NA,NA,"Unbranched or few-branche (6) treelets, wood hard. Leaves clustered at apex of stem, litter-collecting. Inflorescence lateral but not axillary. Corolla cream, fifth petal +/- abortive. Older inflorescence with scaly short-shoots. Cal","SPF00104456","SPF00104456",NA,"-40","-19.2",NA,NA,NA,NA,NA
"7","2019-11-13 11:30:42-03","USP","SPF","225993","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Groppo, M","1824","2009","01","26",NA,"Brasil","Espírito Santo","Rio Bananal","Estrada Rio Bananal - Novo Brasil. Estrada de terra da propriedade Fazenda Biubertii, próximo à rodovia, proipridade de Paulo Roberto, ca. 14 km da Igreja de Rio Bananal.","-40.357797","-19.1428",NA,NA,NA,"SPF00225993",NA,NA,"-40.357797","-19.1428","Groppo, M","2009","01","81","81"
"8","2019-12-04 16:39:49-03","FFCLRP","SPFR","10324","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Arbocz, G.F.","2354","1996","01","28",NA,"Brasil","Espírito Santo","São Gabriel da Palha","Fazenda Lorenzoni","-40.539247","-19.015786",NA,NA,"Proximidades do córrego Bley.",NA,NA,NA,"40o32'21.29W","19o00'56.83S","Groppo, M.","2008",NA,NA,NA
"9","2019-12-04 16:39:49-03","FFCLRP","SPFR","14161","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Groppo, M.; Bruniera, C.P.; Bueno, G.M.","1825","2009","01","26",NA,"Brasil","Espírito Santo","Rio Bananal","Estrada Rio Bananal - Novo Brasil.","-40.357972","-19.143833",NA,NA,"(Ponto da casa da propriedade). Estrada de terra da propriedade Giubertii, próximo à rodovia, propriedade de Paulo Roberto, ca. 14km da Igreja de Rio Bananal. Morro com solo argiloso e plantação de café no sopé e mata semidecídua no topo, parcialmente de",NA,NA,NA,"40o21'28.7W","19o08'37.8S","Groppo, M.","2009","01","81","81"
"10","2019-12-04 16:39:51-03","FFCLRP","SPFR","14163","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Groppo, M.; Bruniera, C.P.; Bueno, G.M.","1824","2009","01","26",NA,"Brasil","Espírito Santo","Rio Bananal","Estrada Rio Bananal - Novo Brasil.","-40.357972","-19.143833",NA,NA,"(Ponto da casa da propriedade). Estrada de terra da propriedade Giubertii, próximo à rodovia, propriedade de Paulo Roberto, ca. 14km da Igreja de Rio Bananal. Morro com solo argiloso e plantação de café no sopé e mata semidecídua no topo, parcialmente de",NA,NA,NA,"40o21'28.7W","19o08'37.8S","Groppo, M.","2009","01","81","81"
"11","2019-12-04 16:39:51-03","FFCLRP","SPFR","14185","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,"Groppo, M.; Bruniera, C.P.; Bueno, G.M.","1826","2009","01","26",NA,"Brasil","Espírito Santo","Rio Bananal","Estrada Rio Bananal - Novo Brasil.","-40.357972","-19.143833",NA,NA,"(Ponto da casa da propriedade). Estrada de terra da propriedade Giubertii, próximo à rodovia, propriedade de Paulo Roberto, ca. 14km da Igreja de Rio Bananal. Morro com solo argiloso e plantação de café no sopé e mata semidecídua no topo, parcialmente de",NA,NA,NA,"40o21'28.7W","19o08'37.8S","Groppo, M.","2009","01","81","81"
"12","2019-11-21 10:18:42-03","IBt","SP","335372","S","Plantae",NA,NA,"Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki","Isotype","Kallunki, JA; Pirani, JR; Fernandes, JB","711","1995","04","21",NA,"Brasil","Espírito Santo","Bananal","Rio Bananal. Fazenda São Jorge, 18 km from church on paved road from Bananal to Novo Brasil, behind house. Disturbed forest","-40.416667","-19.2",NA,NA,"Unbranched or few-branched (6) treelets, wood hard. Leaves clustered at apex of stem, litter-collecting. Inflorescence lateral but not axillary. Corolla cream, fifht petal +- abortive. Older inflorescence with sc aly short-shoots. Calyx","SP001577","SP001577",NA,"-40.416667","-19.2","Kallunki, JA","1998",NA,NA,NA
