"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","imagecode","maximumElevationInMeters","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","4104342","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","crassifolia","Maxillaria crassifolia","(Lindl.) Rchb.f.","H. D. Clarke","3762","1997","02","20","South America","Guyana","Upper Takutu-Upper Essequibo","Rewa River; 0-5 km S of camp.","-58.5922","2.985","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424717' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:48-03","UFRJ","RFA","7629","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria","crassifolia","Maxillaria crassifolia","(Lindl.) Rchb.f.","P. Occhioni","81","1979","06","13",NA,"Brasil","Rio de Janeiro","Morro do queimado","-43.2075004577637","-22.9027996063232",NA,NA,"Epifita, flor de creme","RFA31722","Valerio Ferreira","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:52:48-03","EAO","IAN","103386","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Fróes, RL","34567","1958","08","15","Southern America","Brasil","Maranhão","Rio Gurupí; terra firme, mata. 2ª viagem.",NA,NA,NA,NA,"Planta epífita; flor amarelada.","IAN103386","Pessoa, ME",NA,NA,NA,"2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:48-03","EAO","IAN","103481","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Fróes, RL","34662","1958","09","19","Southern America","Brasil","Pará","Região do Igarapé Pitoró. Mata da terra firme.",NA,NA,NA,NA,"Planta epífita; flores amarelas.","IAN103481","Pessoa, ME",NA,NA,NA,"2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:48-03","EAO","IAN","108518","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Irwin, HS; Egler, WA","47151","1960","07","24","Southern America","Brasil","Amapá","Disturbed forest 4 kilometers southeast of Clevelândia.","-51.883333","3.8",NA,NA,"Epiphyte, on horizontal branch of trees; flowers orange-yellow. Occasional.","IAN108518","Pessoa, ME",NA,NA,NA,"2012","08","03","-51.883333","3.8",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:48-03","EAO","IAN","133484","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Oliveira, E","5418","1971","03","11","Southern America","Brasil","Pará","Ilha de Mosqueiro; Furo das Marinhas. Pico 1, quadra 9. Mata de terra firme.",NA,NA,NA,NA,"Planta epífita; flor amarela.","IAN133484","Pessoa, ME",NA,NA,NA,"2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:52:48-03","EAO","IAN","98236","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Pires, JM","6846","1958","07",NA,"Southern America","Brasil","Pará","Cultivado no I.A.N. nos vasos nº 327, 347, 363, 364, 366, 368 a 392, 394 a 402.","-48.5043983459473","-1.4558299779892",NA,NA,"Pedicelos esverdeados; flor amarelo-alaranjada.","IAN098236","Pessoa, ME","Belém","48462","auto","2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:48-03","EAO","IAN","90927","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Pires, JM","6585","1957","05","14","Southern America","Brasil","Pará","I.A.N.","-48.5043983459473","-1.4558299779892",NA,NA,"Planta cultivada.","IAN090927","Pessoa, ME","Belém","48462","auto","2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:48-03","EAO","IAN","112452","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Santos, RR dos","s.n.",NA,NA,NA,"Southern America","Brasil","Pará","I.A.N. Igarapé Murutucu. Cultivado no orquidário do I.A.N. Vaso nº 2. Floração em 31/01/1962.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN112452","Pessoa, ME","Belém","48462","auto","2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:48-03","EAO","IAN","112454","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Heterotaxis","sessilis","Heterotaxis sessilis","(Sw.) F.Barros","Pires, JM","6846","1956",NA,NA,"Southern America","Brasil","Pará","I.A.N. Mata da Serraria. Cultivado no Orquidário do I.A.N. Vaso nº 363. Floração em 21/02/1962.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN112454","Pessoa, ME","Belém","48462","auto","2012","08","03",NA,NA,NA,NA,NA,NA,NA,NA
