"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified"
"1","2020-09-23 10:40:03-03","E","E","420976","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Hieronymus, Georg Hans Emmo Wolfgang","Temperate South America","AR","Provincia de Córdoba","Sierra Achala de Córdoba; Sieriania al sud de Janti cutlis (Spelling ?)","herbarium specimen of unspecif","BGBASE:518970","<a href=http://data.rbge.org.uk/herb/E00420976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:03-03","E","E","420977","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:518971","<a href=http://data.rbge.org.uk/herb/E00420977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:31-03","PUCPR","HUCP","7856","S","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Shirata, MT",NA,"Brasil","Paraná","Ilha do Farol",NA,NA,NA,"HUCP00002608","Monocotiledonea","(Poir.) Hauman.","721","1988","04","10","Matinhos","-48.5428009033203","-25.8174991607666","15275","HUCP00002608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:43:19-03","NBC","NL-BOTANY","AMD.76775","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Herter","Southern America","Uruguay",NA,"Cerro.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.76775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD76775",NA,"(Poir.) Hauman",NA,"1926","09","01",NA,NA,NA,NA,"NL-AMD76775",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1201697","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Vervoorst F","Southern America","Argentina",NA,"Moron: Villa Udaoudo, Puyén[?], (Buenos Aires).",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1201697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1201697",NA,"(Poir.) Hauman",NA,"1956","11","01",NA,NA,NA,NA,"NL-L1201697",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.3898590","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Wijninga VM","Southern America","Colombia","Cundinamarca","along road Mosquera - La Mesa, Zanjon de Catedras.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3898590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3898590",NA,"(Poir.) Hauman",NA,"1991","02","06",NA,NA,NA,NA,"NL-L3898590",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:19-03","NBC","NL-BOTANY","U.1358548","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Wijninga VM","Southern America","Colombia","Cundinamarca","along road Mosquera - La Mesa, Zanjon de Catedras.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1358548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1358548",NA,"(Poir.) Hauman",NA,"1991","02","06",NA,NA,NA,NA,"NL-U1358548",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:16-03","MN","R","115768","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Weiler, J.",NA,"Estados Unidos","Califórnia",NA,NA,NA,NA,"R010040985",NA,"(Poir.) Hauman","6191","1961","04","24","Solano County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:31:16-03","MN","R","215876","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Thorne, R.F. 32191; Everett, P.",NA,"Estados Unidos","Califórnia",NA,NA,NA,NA,"R010040980",NA,"(Poir.) Hauman",NA,"1963","06","08","Monterey County",NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:16-03","MN","R","215877","PreservedSpecimen","Plantae","Juncaginaceae","Lilaea","scilloides","Lilaea scilloides","Asplund, E.",NA,"Equador","Carchi",NA,NA,NA,"Iter Regnellianum Sextum. Flora aequatoriensis","R010040981",NA,"(Poir.) Hauman","17007","1955","07","23","Tulcán",NA,NA,NA,NA,NA,NA,NA,"3000","3000",NA,NA,NA,NA,NA,NA
