"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","class","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","dayIdentified"
"1","2020-09-23 10:37:50-03","E","E","50250","PreservedSpecimen","Plantae","Compositae","Lessingianthus","pumillus","Lessingianthus pumillus","Dubs, B.","1757","1994","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:56949","<a href=http://data.rbge.org.uk/herb/E00050250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805233","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","G. G. Hatschbach","15929","1967","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805233","Magnoliophyta","Asterales","(Vell.) H.Rob.","Paraná","Campo Mourao","NY00805233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805231","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","P. K. H. Dusén","10968","1910","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805231","Magnoliophyta","Asterales","(Vell.) H.Rob.","Paraná","Fabio Rego","NY00805231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","805234","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","G. G. Hatschbach","25932","1970","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805234","Magnoliophyta","Asterales","(Vell.) H.Rob.","Paraná","Rio Capivari","NY00805234_01","Ipiranga","-50.5842","-25.0242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","805230","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","A. L. Bernardi","19497","1979","01","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805230","Magnoliophyta","Asterales","(Vell.) H.Rob.","Canindeyú","20 km circa post Ype-Jhú versus Capitan Bado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","805235","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","S. B. Jones, Jr.","22739",NA,NA,NA,"South America","Brazil","sheet",NA,"Cultivator: Samuel B. Jones. # 76-100. Grown from seed of the above collection at Plant Growth Facilities <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805235","Magnoliophyta","Asterales","(Vell.) H.Rob.","Paraná","Between Jaguariaiva & Itarare","NY00805235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","805229","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","G. G. Hatschbach","66214","1997","03","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805229","Magnoliophyta","Asterales","(Vell.) H.Rob.","Minas Gerais","Serra do Cabral.","NY00805229_01","Joaquim Felício","-44.1719","-17.7575","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","805232","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","G. G. Hatschbach","23224","1969","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805232","Magnoliophyta","Asterales","(Vell.) H.Rob.","Paraná","Fortaleza","NY00805232_01","Ponta Grossa","-49.986549","-25.226264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:42-03","UFBA","ALCB","04520","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","Gusmão, EF de","454","1976","10","16","Southern America","Brasil",NA,NA,NA,NA,"Dicotyledon",NA,"(Vell) H.Rob.","Paraná",NA,NA,"Vila Velha",NA,NA,"Dematteis, M","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:50:13-03","NBC","NL-BOTANY","L.3958390","PreservedSpecimen","Plantae","Compositae","Lessingianthus","pumillus","Lessingianthus pumillus","Fiebrig K",NA,"1908","01","01","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3958390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3958390",NA,"Asterales","(Vell.) H.Rob.",NA,"zwischen Rio Apa un Rio Aquidaban.","NL-L3958390",NA,NA,NA,"Robinson HE",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022071","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","G. Hatschbach; M. Hatschbach, E. Barbosa","66214","1997","3","14",NA,"Brazil",NA,NA,"Ereta, flor lilás.",NA,"Magnoliophyta","Asterales","(Vell.) H.Rob.","Minas Gerais","Serra do Cabral (Mun. Joaquim Felício).",NA,NA,"-44.2","-17.8","H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:31:58-03","UFJF","CESJ","69011","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","J.M. Silva; C.B. Poliquesi; L.T. Maranhão; R. Ristow","8223","2012","03","19","América do Sul","Brasil",NA,NA,"Arbusto 1m, capítulos alvacentos. Campo recém queimado.","CESJ069011","Angiosperma",NA,"(Vell.) H.Rob.","Paraná","Parque Estadual de Vila Velha",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","E. Barboza","2012",NA,"04","46557","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:31:58-03","UFJF","CESJ","11259","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","L. Krieger","CESJ11259","1971","12","18","América do Sul","Brasil",NA,NA,"No campo arenoso, folhas duras, flores brancas.","CESJ011259","Angiosperma",NA,"(Vell.) H.Rob.","Paraná","Parque Estadual de Vila Velha",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","L.C.Pereira","2012",NA,"03","46557","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-08 08:49:56-03","FURB","FURB","50348","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","pumillus","Lessingianthus pumillus","Funez, L.A.; Gasper, A.L. de; Kemmelmeier, K. & Zermiani, A.E.","3768","2015","02","20",NA,"Brasil",NA,NA,NA,"FURB50348",NA,NA,"(Vell.) H.Rob.","Santa Catarina","Alto Quiriri.","FURB50348","Garuva","-48.9544444","-26.0391666","Marques, D","2015",NA,NA,NA,NA,"-48.9544444","-26.0391666","1200","1200",NA,NA,NA
