"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","typeStatus","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","569139","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","J. R. Pirani","I. Cordeiro","2305","2000","09","06","South America","Brazil","São Paulo","Peruíbe","Estaçao Ecológica Juréia-Itatins, Núcleo Arpoador, Trilha do Morro do Arpoador, Mata Ombrófila Densa de Encosta.","-46.99","-24.32","25","25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777877","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani",NA,"L. Rossi","2132","2000","09","18","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Jequitibá","-45.4097","-23.6203","60","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:43:40-03","EAO","IAN","26328","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Galipea","fontanesiana","Galipea fontanesiana","A.St.-Hil.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN026328","IAN026328_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:19:04-03","ESALQ","ESA","65945","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Pirani, J.R.","Salino, A.","3258.0","1997","07","20",NA,"Brasil","Minas Gerais","Januária",NA,"-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,"ESA065945","ESA065945","148972","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:19:04-03","ESALQ","ESA","130060","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Colletta, G.D. & Dias, P.O.","Colletta, G.D.","2002.0","2014","07","08",NA,"Brasil","São Paulo","Jaguariúna","Fazenda Santa Rita do Mato Dentro","-46.9799995422363","-22.7000007629395",NA,NA,NA,"Árvore, 6m, frutos imaturos verdes","ESA130060",NA,"12963","auto","2014",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:44:40-03","UFJF","CESJ","32361","PreservedSpecimen","Plantae","Angiosperma",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A. St.-Hil.) Kallunki & Pirani","J.R. Pirani","A. Salino","3258","1997","07","20","América do Sul","Brasil","Minas Gerais","Januária","Vale do Rio Peruaçu, Mata ciliar do rio, a caminho do Janelão, 15°07'23S e 44°14'34W.","-44.3616981506348","-15.4881000518799",NA,NA,NA,"Arvoreta ca. 4m de altura, folhas cortáceas, corola branca e cálice esverdeado, frutos imaturos verdes.","CESJ032361",NA,"148972","auto","1999","06",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:40:25-03","UNICAMP","UEC","186016","S","Plantae","Magnoliopsida",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Tamashiro, JY","Padgurschi, MCG; Tamashiro, JY; Belinello, R","1195","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K","-45.068056","-23.325556","1062","1093",NA,"Árvore, ca. 4m, material vegetativo. Projeto Biota Gradiente Funcional: Parcela K, indivíduo K1314; Floresta Ombrófila Densa Montana","UEC109379","UEC109379",NA,NA,"2009",NA,"-45.068056","-23.325556",NA,NA,NA,NA,NA
"8","2021-03-01 16:40:25-03","UNICAMP","UEC","160984","S","Plantae","Magnoliopsida",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Pirani, JR","Stefani, EJF; Belinello, R; Gavão, J","168","2010","06","02",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar.","-45.514167","-23.624722","50","90",NA,"Árvore com 7 metros.; Mata Atlântica.","UEC002068","UEC002068",NA,NA,NA,NA,"-45.514167","-23.624722",NA,NA,NA,NA,NA
"9","2019-08-20 10:25:23-03","UNICAMP","UEC","20952","S","Plantae","Magnoliopsida",NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Pirani, JR","Shepherd, GJ; Silva, AF; Tamashiro, JY; Gouvêa, LSK","10441","1979","10","06",NA,"Brazil","São Paulo","S Sebastião","Estr. Rio-Santos à 15 km da cidade no se",NA,NA,NA,NA,NA,"Flor, Arvoreta de 3m, flores cano-esverdeado","UEC002065","UEC002065",NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-05-07 11:30:46-03","MNHN","RECOLNAT_MNHN_P","P02440774","PreservedSpecimen",NA,NA,NA,"Rutaceae","Conchocarpus","fontanesianus","Conchocarpus fontanesianus","(A.St.-Hil.) Kallunki & Pirani","Pirani","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro : près d'Araruama",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02440774' target='other'> <mi>dwc_moreinfo</mi></a>","P02440774","P02440774_01",NA,NA,NA,NA,NA,NA,"565",NA,NA,NA,NA
