"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","558907","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","A. C. Brade","15302","1936","05","21","South America","Brazil","São Paulo","Bananal","Bananal; Serra da Bocaina","-44.3423","-22.713676","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558907","NY00558907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558916","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","R. Reitz","4433","1957","06","21","South America","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca","-48.8456","-26.3044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558916","NY00558916_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558909","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","F. C. Hoehne","s.n.","1934","09","12","South America","Brazil","São Paulo","Santo André","Alto da Serra, Estacao Biologica","-46.5297","-23.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558909","NY00558909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1085703","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","A. C. Brade","15302","1936","05","21","South America","Brazil","São Paulo","Bananal","Bananal. Sertão do Rio Vermelho, Serra da Bocaina","-44.3423","-22.713676","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250409' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085703","NY01085703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558915","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","Moura","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558915","NY00558915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558918","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","E. Pereira","623","1949","07","20","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558918","NY00558918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558906","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","P. C. Porto","739","1918","09","24","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558906","NY00558906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","558910","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","J. G. Kuhlmann","s.n.","1922","10","07","South America","Brazil",NA,NA,"Sao Caetano (Rio de Janeiro?)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558910","NY00558910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","558917","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","R. Reitz","4453","1957","06","21","South America","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca","-48.8456","-26.3044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558917","NY00558917_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","558904","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","E. Pereira","623","1949","07","20","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558904","NY00558904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","250338","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","P. K. H. Dusén","763","1902","07","18","South America","Brazil",NA,NA,"Serra do Itatiaia, Mont Serrat in silva primae",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250338","NY00250338_01","900","900","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","558908","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","clivicola","Peperomia clivicola","Yunck.","A. C. Brade","19133","1948","08","15","South America","Brazil","Espírito Santo","Castelo","Braco do Sul","-41.1844","-20.6036","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558908","NY00558908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
