"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","1535","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","R. R. Negrelle","R. Negrelle","1992","11","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI002552","CRI002552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","13167","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","Funez, L.A.","Funez, L.A.","2014","12","18","Brasil","Santa Catarina","Apiúna","Morro Dom Bosco. Morro Dom Bosco.","-49.366944","-27.051111","49º22'1''W","27º3'4''S","451","451",NA,"CRI011875",NA,"2014","12","18","3151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","3113","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","Marcos Sobral","Robson dos Santos; Raquel Rejane Bonatto Negrelle","1993","12","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI002554","CRI002554",NA,NA,NA,"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","585600","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","J. A. Kallunki","A. M. V. de Carvalho","1993","07","03","Brazil","Bahia","Ilhéus","Estrada Pontal/Buerarema, coletas entre os kms 23 e 30","-39.1540879","-14.9163078",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585600","NY00585600_01",NA,NA,NA,"4267","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00201012","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","L. J. Gillespie","J. Inuma","1991","10","22","Peru","Loreto","Maynas","Iquitos. Puerto Almendras. Rio Nanay.","-73.75","-4.92",NA,NA,"122","122","Plants from Amazonian Peru <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00201012","NY00201012_01",NA,NA,NA,"44","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01301036","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","L. J. Gillespie","H. C. de Lima","1986","11","11","Brazil","Amazonas","Tefé","Próximo a Vila Nogueira","-64.780916","-3.3006428",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301036","NY01301036_01",NA,NA,NA,"2715","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1181519","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","W. Milliken","D. Sasaki","2008","02","02","Brazil","Mato Grosso","Novo Mundo","Parque Estadual do Cristalino. Serra do Rochedo, limite sul do parque, acesso pela Fazenda AJJ.","-55.44233","-9.685031",NA,NA,"435","435","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181519","NY01181519_01",NA,NA,NA,"2145","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3931742","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"R. Vásquez Martínez","1987","11","18","Peru","Loreto","Requena","Sapuena, Jenaro Herrera","-73.75","-4.83",NA,NA,"170",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226454' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931742",NA,NA,NA,NA,"10132","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3931786","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"H. D. Clarke","1997","09","17","Guyana","Upper Takutu-Upper Essequibo",NA,"Eastern Kanuku Mts., 5 km W of Kwitaro R., summit of unnamed mt.","-58.855","3.1894",NA,NA,"560",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226554' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931786",NA,NA,NA,NA,"6388","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3931769","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"W. H. Camp","1990","12","06","Ecuador","Zamora-Chinchipe","Nangaritza","Parroquia Pachicutza. Coleciones en el sector Noreste del campamento militar",NA,NA,NA,NA,"900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226537' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931769",NA,NA,NA,NA,"13392","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01301019","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","R. de S. Secco","G. Eiten","1963","01","29","Brazil","Amazonas","Manaus","At Ponta Negra, on north shore of the Rio Negro, several kilometers upstream from Manaus.","-60.0925514","-3.0718694",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1557603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301019","NY01301019_01",NA,NA,NA,"5195","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3931813","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"R. Evans","1996","11","29","Suriname","Para",NA,"Zanderij Een recreation area, 1.2 km E of Zanderij Hwy., ca. ½ km N of town of Zanderij.","-55.22","5.47",NA,NA,"30",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226581' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931813",NA,NA,NA,NA,"2600","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01301033","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","G. T. Prance","G. T. Prance","1965","08","31","Brazil","Pará",NA,"Mata da Serrajania, High forest. Grounds of Instituto Agronico do Norte",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1557701' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301033","NY01301033_01",NA,NA,NA,"1256","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01301008","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","M. H. Nee","J. R. M. Nascimento","1981","11","06","Brazil","Amazonas","Manaus","Distrito Agropecuario da SUFRAMA, rodovia BR-174, km 64, depois 34 km leste na ZF-3, Fazenda Esteio. Reserva no. 1302 do projeto Dinamica Biologica de Fragmentos Florestais.","-59.8109597","-2.4350611",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1557403' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301008","NY01301008_01",NA,NA,NA,"s.n.","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00754449","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","M. J. Huft","S. R. Lowrie","1980","09","30","Brazil","Acre","Rio Branco","8km from Rio Branco on Rio Branco-Porto Velho road","-67.75","-10.02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754449","NY00754449_01",NA,NA,NA,"285","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01301016","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","R. de S. Secco","B. M. Boom","1988","11","23","Brazil","Amazonas",NA,"Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.74583333","-2.41625",NA,NA,"50","125","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1557460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301016","NY01301016_01",NA,NA,NA,"8610","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","191597","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","M. J. Huft","P. Kunkumas","1985","08","06","Ecuador","Morona-Santiago",NA,"Los alrededores del Centro Tuutin Entsa, cerca Taisha",NA,NA,NA,NA,"330","330","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191597","NY00191597_01",NA,NA,NA,"108","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3910290","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"D. Cárdenas-López","2013","03","29","Colombia","Caquetá","Belén de los Andaquies","vegetación a orilla de quebrada Génova, sector occidental del casco urbano.","-75.8644","1.4417",NA,NA,"320",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4542421' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910290",NA,NA,NA,NA,"43507","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3931784","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"S. A. Mori","2003","11","17","French Guiana",NA,NA,"Saut Athanase tourist camp on the Approuague River, ca. 25 km SW of Regina. On grounds of camp and on trail near to camp. Edge of camp.","-52.32","4.18",NA,NA,"50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226552' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931784",NA,NA,NA,NA,"25732","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3931746","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"A. Fuentes C.","2005","05","01","Bolivia","La Paz","Muñecas","Sotopata, pasando el rio al lado de maroma, encima de chacra de coca","-68.4733","-15.1497",NA,NA,"800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226458' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931746",NA,NA,NA,NA,"7799","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01301046","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","G. L. Webster","C. C. Berg","1977","10","14","Brazil","Pará",NA,"Serra dos Carajás, Serra Norte. Patch of disturbed low forest near AMZA Exploration Camp.","-50.25","-6",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326894' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301046","NY01301046_01",NA,NA,NA,"514","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01301035","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","C. Davidson","G. Martinelli","1980","06","20","Brazil","Pará","Oriximiná","Rio Cachorro, Serra do Cachorro, 15 km NW de Cachoeira Porteira.","-57.1288204","-1.0038673",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301035","NY01301035_01",NA,NA,NA,"7152","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","870155","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"E. P. Heringer","1980","01","26","Brazil","Bahia","Ilhéus","Orla maritima, cerca de 15km ao Sul de Olivença","-38.998845","-15.080553",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870155","NY00870155_01",NA,NA,NA,"3407","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2422974","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"L. B. Pimentel","2013","12",NA,"Brazil","Rio de Janeiro","Cantagalo",NA,"-42.3680992126465","-21.9811000823975",NA,NA,"180",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675684' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422974","NY02422974_01",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","33898","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3931766","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"B. Øllgaard","1982","05","30","Ecuador","Orellana",NA,"[Napo] Añangu. Parque Nacional Yasuní","-76.38","-0.52",NA,NA,"260","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226534' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931766",NA,NA,NA,NA,"38864","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01301029","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","L. J. Gillespie","M. G. Vieira","1979","10","29","Brazil","Rondônia",NA,"A 38 Km de Vilhena","-60.166667","-12.75",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301029","NY01301029_01",NA,NA,NA,"772","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01301020","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","R. L. Liesner","M. H. Nee","1992","02","24","Brazil","Amazonas","Manaus","Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 21 km leste na ZF3, Fazenda Porto Alegre. E side of reserva 3402 at Cabo Frio.","-59.9048156","-2.4341821",NA,NA,NA,NA,"Projeto Dinâmica Biológica de Fragmentos Florestais. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301020","NY01301020_01",NA,NA,NA,"42577","Magnoliophyta","Malpighiales","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01301043","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","R. L. Liesner","M. H. Nee","1992","01","28","Brazil","Amazonas","Manaus","Distrito Agropecuário da SUFRAMA, Rodovia BR 174, Km 64, then 23 Km east on ZF3, Fazenda Esteio. Secondary growth and abandoned pastures near camp Colosso.","-59.8885828","-2.4292245",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322833' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301043","NY01301043_01",NA,NA,NA,"42316","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","194612","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"W. L. Balée","1986","11","04","Brazil","Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","-46.43","-2.72",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194612","NY00194612_01",NA,NA,NA,"2822","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00041047","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","L. J. Gillespie","J. Inuma","1991","10","22","Peru","Loreto","Maynas","Iquitos. Puerto Almendras. Rio Nanay.","-73.75","-4.92",NA,NA,"122","122","Plants from Amazonian Peru <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4568441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041047","NY00041047_01",NA,NA,NA,"44","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00802172","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","K. J. Wurdack","P. J. M. Maas","2001","10","18","Brazil","Acre","Mâncio Lima","BR-307, Ramal Feijao Insosso, km 15","-72.9647","-7.5981",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802172","NY00802172_01",NA,NA,NA,"9074","Magnoliophyta","Malpighiales","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","629657","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","M. H. Nee","M. H. Nee","1999","10","30","Bolivia","Santa Cruz",NA,"Prov. Ichilo, 2 km SW of Highway at San Germán","-64.1","-17.37",NA,NA,"275","275","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629657","NY00629657_01",NA,NA,NA,"50364","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3931807","PreservedSpecimen","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.",NA,"B. M. Boom","1992","03","13","Venezuela","Bolívar","Cedeño","Along the Río Erebato","-64.75","5.33",NA,NA,"330",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4226575' target='other'> <mi>dwc_moreinfo</mi></a>","NY03931807",NA,NA,NA,NA,"10457","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
