"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:25:32-03","UNESC","CRI","3412","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Daniel de Barcellos Falkenberg","Robson dos Santos","1113","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42","CRI004254","CRI004254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","4940","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","V. Citadini-Zanette; V. Boff & A. Gozçe.","2165","1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI004257","CRI004257","1996","10","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:32-03","UNESC","CRI","836","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1199","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004258","CRI004258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:32-03","UNESC","CRI","3811","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Z. P. Topanotti","Zenaide P. Topanotti","36","1995","09","10","Brasil","Santa Catarina","Nova Veneza","São Pedro.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI004267","CRI004267",NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:32-03","UNESC","CRI","9665","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","M. Verdi","M. Verdi; D. H. Klettenberg & G. Klemz","1613","2009","10","13","Brasil","Santa Catarina","Jacinto Machado","Morro São Cristovão.","-49.86","-28.89","49º51'36''W","28º53'24''S","380","380","CRI004274","CRI004274","2009","10","13","Floresta Ombrófila Densa Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:41-03","UNESC","CRI","7938","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton",NA,"2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI004262","CRI004262","2007","09","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:32-03","UNESC","CRI","13723","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Renato Colares","Renato Colares",NA,"2016","11",NA,"Brasil","Santa Catarina","Siderópolis","Lote 42.","-49.453611","-28.570278","49º27'13''W","28º34'13''S","120","120","CRI012330",NA,"2018","05","24","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:32-03","UNESC","CRI","9660","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","A. Korte","A. Korte; A. Kniess","4821","2010","10","27","Brasil","Santa Catarina","Major Vieira","Rio da Serra.","-50.4","-26.64","50º24'0''W","26º38'24''S","1009","1009","CRI004272","CRI004272","2010","10","27","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:41-03","UNESC","CRI","7917","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Vanilde Citadini- Zanette","Jaqueline Bonazza Rodrigues",NA,"2007","09","12","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI004260","CRI004260","2007","10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:32-03","UNESC","CRI","12198","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Seubert, RC","Seubert, RC; Sampaio, DK; Hofschneider, E; Rezini, JA & Gebien, W",NA,"2014","03","10","Brasil","Santa Catarina","Indaial","Faxinal do Bepe Parque Nacional da Serra do Itajaí","-49.195","-27.11","49º11'42''W","27º6'36''S","688","688","CRI010376","CRI010376","2014","03","10","Doação Herbário FURB (46647) Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
