"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","year","month","day","decimalLongitude","decimalLatitude","imagecode","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","604440","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","F. C. Hoehne","s.n.","South America","Brazil","São Paulo","Cabreúva, S. Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","604441","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","W. Hoehne","W. Hoehne","s.n.","South America","Brazil","São Paulo","Sao Paulo. Parque Estadual de Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604441","1944","08","08","-46.621883","-23.654505","NY00604441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","604448","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","D. R. Simpson","518","South America","Peru","Tumbes","Dtto. Pampas de Hospital. Along the Pampas de Hospital to El Caucho road, about 10 km. from El Caucho in the bosque muy seco vegetation zone of Tossi (1960)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604448","1968","01","02",NA,NA,NA,"Tumbes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","604444","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","O. Handro","O. Handro","2329","South America","Brazil","São Paulo","Cabreúva, Cultivada no Jardim Botânico de Sao Paulo","sheet","fl. 5-IX-1985 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604444",NA,NA,NA,NA,NA,"NY00604444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604439","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","F. C. Hoehne","s.n.","South America","Brazil","São Paulo","Cabreúva, S. Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604439","1933","10","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01045103","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","J. M. Pires","16615","South America","Brazil","Mato Grosso","Sararé, 10 km a E do Campo Base","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187432' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045103","1978","08","13",NA,NA,"NY01045103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1127851","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","O. Handro","A. Macedo","787","South America","Brazil","Minas Gerais","Fazenda do Fundão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127851","1946","06","26","-49.465","-18.9692","NY01127851_01","Ituiutaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02679286","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.",NA,"E. P. Heringer","14808","South America","Brazil","Distrito Federal","Catetinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946370' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679286","1975","08","03","-47.9296989440918","-15.7797002792358","NY02679286_01","Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2422967","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.",NA,"L. Biral","759","South America","Brazil","São Paulo","Pasto antropizado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675675' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422967","2012","09","20","-47.43","-23.33","NY02422967_01","Salto de Pirapora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","604438","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.",NA,"C. A. L. de Oliveira","6","South America","Brazil","Rio de Janeiro","RJ, Rio de Janeiro, Estr. da Vista Chinesa n° 741. CBRJ","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604438","1985","08","07","-43.273873","-22.971901","NY00604438_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1183713","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","S. F. Smith","M. C. D. Macedo","2933","South America","Brazil","Minas Gerais","Foz do Walter.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452630' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183713","2005","09","10","-49.4864","-19.5356","NY01183713_01","Campina Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01045104","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","E. P. Heringer","5436","South America","Brazil","Distrito Federal","Catetinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045104","1980","09","03","-47.988069","-15.948311","NY01045104_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1039368","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.",NA,"R. D. Ribeiro","661","South America","Brazil","Rio de Janeiro","Entre o bairro de Santa Catarina e o Quilombo Machadinha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039368","2006","05","07","-41.4722","-22.1067","NY01039368_01","Quissamã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","604446","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","A. L. B. Sartori","G. G. Hatschbach","14495","South America","Brazil","Paraná","Rio Paranapanema","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604446","1966","06","23","-52.3419","-22.7347","NY00604446_01","Santo Antônio do Caiuá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","604443","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","W. Mantovani","A. C. Filho","1196","South America","Brazil","São Paulo","Sao Paulo, Sao Paulo, Parque do Estado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604443","1982","08","01","-46.621883","-23.654505","NY00604443_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
