"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:35-03","UNESC","CRI","5353","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Mez","M. Sobral","J. A. Jarenkow; R. Zacchia","2162","1992","12","01","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","Mata Atlântica de Encosta. Habitat: Borda de Mata Atlântica de Encosta Habito: arvoreta","CRI003525","CRI003525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:12-03","E","E","109555","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana",NA,NA,"Hoehne, F.C.","28200","1931","10","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00109555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109555",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:117338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:12-03","E","E","109553","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana",NA,NA,"Silva, Jnr., M.C.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00109553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109553",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:117340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:18-03","E","E","109556","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana",NA,NA,"Hoehne, F.C.",NA,"1931","10","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00109556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109556",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:117336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:18-03","E","E","109557","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana",NA,NA,"Hoehne, F.C.","28200","1931","10","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00109557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109557",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:117334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:12-03","E","E","109554","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana",NA,NA,"Gavilanes, M.L.","12497","1990","11","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00109554 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00109554",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:117339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04206062","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Mez","H. H. van der Werff","L. B. Smith","13289","1964","11","15","Brazil","Santa Catarina","Abelardo Luz","North bank of Rio Chapeco at Abelardo Luz","-52.33","-26.58",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4558511' target='other'> <mi>dwc_moreinfo</mi></a>","NY04206062",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","814747","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Mez","P. L. R. de Moraes","K. Kubitzki","81-10","1981","02","11","Brazil","São Paulo",NA,"Reserva Florestal Estadual de Cunha. Rio Bonito.","-45.041851","-23.277946",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814747","NY00814747_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","814748","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Mez","P. L. R. de Moraes","A. Lourteig","2326","1967","12","20","Brazil","Santa Catarina",NA,"Isla de Santa Catarina, Saco Grande",NA,NA,NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814748","NY00814748_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","814740","PreservedSpecimen","Plantae","Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Mez","H. H. van der Werff","H. Q. B. Fernandes","2602","1988","10","06","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, Valsugana Velha, Estação Biológica de Santa Lúcia. Margem esquerda do rio Timbuí.","-40.6003","-19.9358",NA,NA,NA,NA,"Dupl.: MO. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814740","NY00814740_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
