"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","class","order","individualCount","continentOcean","preparationType","infraspecificEpithet","relationshipType","relatedCatalogItem","fieldNumber","previousCatalogNumber","typeStatus"
"1","2021-04-05 14:33:50-03","UNESC","CRI","11860","PreservedSpecimen","Plantae","Orchidaceae","Alatiglossum","longipes","Alatiglossum longipes","(Lindl.) Baptista","Peterson T. Padilha","2016","07","06","Marcelo Romagna Pasetto; Telma Elyta V. Azeredo, Vanilde Citadini Zanette & J. L. Waechter","2008","07","10","Brasil","Santa Catarina","Siderópolis","Barragem Rio São Bento.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","111","111","CRI008597","CRI008597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","12111","PreservedSpecimen","Plantae","Orchidaceae","Alatiglossum","longipes","Alatiglossum longipes","(Lindl.) Baptista","Mancinelli, WS","2010","01","25","Cadorin, T.J.; Uller, H.F. & Oliveira, C.P.L.","2009","12","10","Brasil","Santa Catarina","Joinville",NA,"-49.047778","-26.1925","49º2'52''W","26º11'33''S","576","576","CRI010289","CRI010289","827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","8707","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","longipes","Gomesa longipes","(Lindl.) Chase & N.H Williams","Jorge Waechter","2010","09","01","Emiliane Biava Dalmolim; Telma Elyta Vilhalba Azeredo","2010","01","22","Brasil","Santa Catarina","Nova Veneza",NA,"-49.500833","-28.636944","49º30'3''W","28º38'13''S",NA,NA,"CRI005627","CRI005627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:44-03","UNESC","CRI","12767","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","uniflora","Gomesa uniflora","(Booth ex Lindl.) M.W.Chase & N.H.Williams","Aline Votri Guislon","2017","11","14","Alexandre Medeiros","2017","05","08","Brasil","Santa Catarina","Balneário Camboriú","Barra - Morro Guaramirim","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI011031",NA,NA,"8793","Coleta 290. Habito: Epífita","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2184","S","Plantae","Orchidaceae","Gomesa","uniflora","Gomesa uniflora","(Booth ex Lindl.) M.W.Chase & N.H.Williams.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Equisetopsida","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2025","S","Plantae","Orchidaceae","Gomesa","uniflora","Gomesa uniflora","(Booth ex Lindl.) M.W.Chase & N.H.Williams.",NA,NA,NA,NA,"Fernando Moreira Fernendes;",NA,NA,NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,NA,NA,NA,"31264","254","auto","Magnoliophyta","Equisetopsida","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1456","S","Plantae","Orchidaceae","Gomesa","uniflora","Gomesa uniflora","(Booth ex Lindl.) M.W.Chase & N.H.Williams.","Carlos A. Ferreira Jr.","2010","03","26","Carlos Alberto F. Jr.; Rainna Souza Gomes","2010","03","26","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,"26557","254","auto","Magnoliophyta","Equisetopsida","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2029","S","Plantae","Orchidaceae","Gomesa","uniflora","Gomesa uniflora","(Booth ex Lindl.) M.W.Chase & N.H.Williams.",NA,NA,NA,NA,"Fernando Moreira Fernendes;",NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,"26557","254","auto","Magnoliophyta","Equisetopsida","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","482494","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","longipes","Gomesa longipes","(Lindl.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"R. Reitz","1959","03","20","Brazil","Santa Catarina","Lauro Muller","Rio do Meio","-49.3967","-28.3931",NA,NA,"350","350","NY00482494","NY00482494_01","8689",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760432' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","482498","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","longipes","Gomesa longipes","(Lindl.) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"F. C. Hoehne","1917","10","16","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521",NA,NA,NA,NA,"NY00482498","NY00482498_01","518",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760435' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA
