"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","infraspecificEpithet","individualCount","typeStatus","eventTime","fieldNumber"
"1","2021-04-05 14:33:42-03","UNESC","CRI","4895","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Daniel B. Falkenberg","Vanilde Citadini Zanette; H. H. Neto","2139","1996","04","19","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: restinga","CRI004527","CRI004527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:42-03","UNESC","CRI","306","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; L. Scardielli & C. Bittencourt",NA,"1986","04","24","Brasil","Santa Catarina","Tubarão","Banhado da estiva.","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11",NA,"CRI004538","CRI004538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:33-03","UNESC","CRI","9722","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","A. A. de Oliveira","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4977","2010","06","10","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Parque Estadual da Serra do Tabuleiro.","-48.755833","-27.893333","48º45'21''W","27º53'36''S","295","295","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI004539","CRI004539","2010","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:42-03","UNESC","CRI","5098","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; V. Boff","2251","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Pregos.","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,NA,NA,"CRI004532","CRI004532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:42-03","UNESC","CRI","8243","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Vanilde Citadini- Zanette","Ronaldo Remor",NA,"2003","01","03","Brasil","Santa Catarina","Siderópolis","Área do Projeto M.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI004531","CRI004531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:33-03","UNESC","CRI","14451","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Oliveira, AA de","Korte, A.","5610","2010","12","14","Brasil","Santa Catarina","Florianópolis","Praia de Jurerê Internacional. Praia de Jurerê Internacional.","-48.508056","-27.451111","48º30'29''W","27º27'4''S","6","6","Florística IFFSC 391 (Arbusto) Habitat: Restinga; Estágio Médio Habito: arbusto; flor roxa","CRI013555","CRI013555","2011","01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:33-03","UNESC","CRI","12358","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Renato Colares","Alexandre Medeiros",NA,"2017","04","26","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"Coleta 230. Habito: Arbustivo","CRI010565","CRI010565","2017","06","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:33-03","UNESC","CRI","11352","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","A. Stival-Santos","A. Stival-Santos; E. Legal & S. Silveira","1184","2009","11","17","Brasil","Santa Catarina","Brusque","Barracão.","-48.869722","-27.005556","48º52'11''W","27º0'20''S","45","45","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva","CRI004536","CRI004536","2009","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:42-03","UNESC","CRI","10468","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.",NA,"Valdemar Boff",NA,"1999","04","14","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4",NA,"CRI004534","CRI004534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:33-03","UNESC","CRI","3076","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","urvilleana","Tibouchina urvilleana","(DC.) Cogn.","Daniel de Barcellos Falkenberg","Robson dos Santos","51","1994","04","09","Brasil","Santa Catarina","Laguna","Farol de Santa Marta.","-48.766667","-28.466667","48º46'W","28º28'S",NA,NA,NA,"CRI004525","CRI004525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
