"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","dayIdentified","recordedBy","country","stateProvince","county","recordNumber","year","month","day","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","coordinatePrecision","geoFlag","imagecode","continentOcean","fieldNumber","preparationType","class"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2858","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E.Morren ex Mez","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1175","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E.Morren ex Mez",NA,"2008","05","1","254","08","João Márcio;","Brasil","Rio de Janeiro","Vargem Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:42-03","UFRJ","RFA","28626","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E.Morren","L. M. Versieux","2004","06",NA,"Epífita a 2 m de altura, no interior de floresta ciliar e margem do Rio Grande","16","A. Salino; P. O. Morais","Brasil","Minas Gerais","Santana do Garambéu","6797","2001","05","11","Trecho do Alto Rio Grande adjacente a zona urbana de Santana do Garambéu","-44.104444","-21.601389","44º6'16''W","21º36'5''S","1100","1100","RFA51330",NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:42-03","UFRJ","RFA","28627","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E.Morren","L. M. Versieux","2004","03",NA,"Erva epífita crescendo em mata nebular; brácteas roxas, flores amarelas","22","R. C. Mota; A. Marques","Brasil","Minas Gerais","Caeté","344","2001","02","22","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"RFA51325","22051","auto",NA,NA,NA,NA,NA
"5","2020-06-29 11:29:42-03","UFRJ","RFA","28628","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E.Morren","L. M. Versieux","2004","04",NA,"Cultivada no ambiente natural. Epífita, heliófila. Folhas verde-vináceas com ápice agudo. Bainha vinácea com máculas mais escuras na face interna. Inflorescência vinho com flores alvo-amareladas. Estames com anteras esverdeadas","20","A. M. Cavalcante","Brasil","Rio de Janeiro","Nova Friburgo","75","2004","01","25","Fazenda Chácara do Paraíso","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"RFA51327","33190","auto",NA,NA,NA,NA,NA
"6","2019-12-04 15:26:26-03","PUCPR","HUCP","21736","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker.) E.Morren","Kersten, RA",NA,NA,NA,NA,NA,"Kersten, RA","Brasil","Paraná","Piraquara","1503","2006","05","31",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"7","2019-12-04 15:26:26-03","PUCPR","HUCP","21676","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker.) E.Morren","Kersten, RA",NA,NA,NA,NA,NA,"Bianchi, J; Kersten, RA","Brasil","Paraná","Piraquara","052","2009","03","12",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"8","2021-02-07 08:35:21-03","MN","R","214755","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E. Morren",NA,NA,NA,NA,NA,NA,"Alves, R.J.V.","Brasil","Minas Gerais",NA,"5800","1997","02","12",NA,NA,NA,NA,NA,NA,NA,"R010017322",NA,NA,"R010017322",NA,NA,NA,NA
"9","2021-02-07 08:35:21-03","MN","R","32433","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E. Morren",NA,NA,NA,NA,NA,NA,"Foster, M.B.","Brasil","Espírito Santo","Santa Teresa","256","1939","07","26",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"R010017319","23813","auto",NA,NA,NA,NA,NA
"10","2021-02-07 08:35:21-03","MN","R","214759","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","lubbersii","Vriesea lubbersii","(Baker) E. Morren",NA,NA,NA,NA,NA,NA,"Gomes-da-Silva, J.","Brasil","Minas Gerais","Araponga","48","2008","06","03",NA,"-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"R010017316","16385","auto",NA,NA,NA,NA,NA
