"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-04-05 14:25:51-03","UNESC","CRI","15184","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","Vinicius-SIlva, R","2016","04","21","Vinicius-SIlva, R; Costa, C.J. & Costa T.S.","2016","04","21","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande, Trilha das piscinas.","-41.087222","-20.52","41º5'14''W","20º31'12''S","1218","1218","Inicialmente eretos e arqueando-se no ápice. Entrenós com 86-90 cm de comprimento, 2,5-3 cm de diâmetro, verde amarelado; faixa infranodal de tricomas lanosos presente; no restante do entrenó é possível também observar esses tricomas l","CRI014599","CRI014599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01049034","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"T. R. Soderstrom","1972","03","01","Brazil","Rio de Janeiro",NA,"Morro Novo Mundo",NA,NA,NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195405' target='other'> <mi>dwc_moreinfo</mi></a>","NY01049034","NY01049034_01","Magnoliophyta","Poales","1864","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00915509","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"L. S. P. Sarahyba","1994","02","25","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Macaé de Cima, Pedra Bicuda. Along trail to Pedra Bicuda","-42.42","-22.38",NA,NA,"1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915509","NY00915509_01","Magnoliophyta","Poales","1052","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686093","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","T. Sendulsky",NA,NA,NA,"P. von Luetzelburg","1915","05",NA,"Brazil",NA,NA,"Orgelbirge",NA,NA,NA,NA,"1400","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686093","NY00686093_01","Magnoliophyta","Poales","6255","South America","sheet","paratype",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00915486","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"L. G. Clark","1990","02","15","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgaos, road from the Administration to the Barragem, close to the Barragem","-42.97","-22.45",NA,NA,"1240","1240","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915486","NY00915486_01","Magnoliophyta","Poales","678","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00915487","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"G. Davidse","1976","03","26","Brazil","Rio de Janeiro",NA,"16 km S of Itaipara; Serra dos Orgaos",NA,NA,NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915487","NY00915487_01","Magnoliophyta","Poales","11419","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","686094","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","T. Sendulsky",NA,NA,NA,"J. N. Rose","1915","08","12","Brazil","Rio de Janeiro",NA,"Organ Mountains",NA,NA,NA,NA,"1000","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686094","NY00686094_01","Magnoliophyta","Poales","20768","South America","sheet","paratype",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01198246","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"W. W. Thomas","1998","02","10","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17",NA,NA,"450","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489228' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198246","NY01198246_01","Magnoliophyta","Poales","11800","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885269","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","R. Vinícius-Silva",NA,NA,NA,"W. W. Thomas","2001","10","25","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383",NA,NA,"860","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885269","NY00885269_01","Magnoliophyta","Poales","12638","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:19:00-03","UFV","VIC","48893","PreservedSpecimen","Plantae","Poaceae","Merostachys","burmanii","Merostachys burmanii","Send.","Vinícius-Silva, R.","2017","01","26","Vinícius-Silva, R.; Costa, C.J.; Silva, M.C.N.A.","2016","06","27","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Início da trilha suspensa, próximo da barragem","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"Indivíduos jovens com, aproximadamente, 3 m de altura. Inicialmente ereto. Entrenós com, aproximadamente 20 cm de comprimento, verde amarelados. Planta encontrada na borda da trilha.","VIC048893","VIC048893",NA,NA,"99",NA,NA,NA,"38539","auto",NA,NA,NA,NA
