"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1280965","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. L. Fonseca","F. C. A. Oliveira","1225","2002","03","13","South America","Brazil","Goiás","Corumbá de Goiás","Estrada para Aparecida 32 km de Corumbá.","-48.5433","-15.8944","1045","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645950' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280965","NY01280965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382402","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","R. de Lemos Fróes","12730/70","1943","03","14","South America","Brazil","Bahia","Ilhéus","Bom Gosto, Ilheos.","-39.04","-14.78",NA,"sheet","Froes #70 on tag on stem <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382402","NY00382402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382393","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","S. A. Mori","12692","1979","07","27","South America","Brazil","Bahia","Andaraí","18 km ao NW de Mucujê, na estrada Mucujê/Andaraí. Mata de Cipó.","-41.33","-12.8","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382393","NY00382393_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822710","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","W. W. Thomas","10747","1995","01","11","South America","Brazil","Bahia","Ilhéus","3 km north of Rodoviaria, Mata da Esperança, forest north of dam and reservoir","-39.0692","-14.7819","50","sheet","Site: ME <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822710","NY00822710_01","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","382394","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","S. A. Mori","13962","1981","05","12","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema.","-39.1202492","-15.1148921","100","sheet","Voucher for ecological study of forest diversity. Point 102-C. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382394","NY00382394_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929128","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","Y. E. J. Mexia","5278","1930","11","11","South America","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Pasture of Chacha Valley.","-42.860644","-20.766686","680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929128","NY00929128_01","680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-01-10 16:49:00-02","NY","NYBG","382400","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana",NA,"M. Groppo, Jr.","J. R. Pirani","CFCR7357","1984","12","20","South America","Brazil","Bahia","Lençóis","Lençóis. Perto do trevo da entrada da cidade.","-41.3897","-12.5633",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382400","NY00382400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929131","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","G. M. Magalhaes","18939","1963","03","19","South America","Brazil","Minas Gerais","Serro","20 km da cidade, lado oriental da S. do Serro.","-43.3792","-18.6047",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929131","NY00929131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822711","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","A. M. Amorim","1332","1993","09","13","South America","Brazil","Bahia","Una","Reserva Biológica do MIco-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 2 km a partir da entrada da reserva.","-39.08","-15.15",NA,"sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822711","NY00822711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687598","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","M. Groppo, Jr.","M. Groppo, Jr.","655","2001","03","26","South America","Brazil","Minas Gerais","Mariana","Estrada de terra para o distrito de Santa Rita Durão, ca. 3 km de Santa Rita Durão.","-43.4158","-20.3781",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687598","NY00687598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
