"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01142702","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.","T. D. Pennington","C. A. Cid Ferreira","1567","1980","07","17","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem esquerda, Lago Erepecu.","-56.5784955","-1.3418401","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142702","NY01142702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01142705","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.","T. D. Pennington","D. C. Daly","5452","1987","10","18","South America","Brazil","Amazonas","São Gabriel da Cachoeira","Rio Negro, just above confluence with Río Uaupés, left (E) bank, trail toward Serra do Carapaná","-67.266667","0.083333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142705","NY01142705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01392312","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.","T. D. Pennington","C. A. Cid Ferreira","1750","1980","07","23","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem esquerda, ao lado do Laço Moçura a 30 km de Porto de Trombetas.","-55.8661","-1.76556","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1608100' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392312","NY01392312_01 NY01392312_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","54147","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.",NA,"R. Spruce","2240","1852","01",NA,"South America","Brazil","Amazonas",NA,"Prope San [São] Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054147","NY00054147_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01142703","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.","T. D. Pennington","C. A. Cid Ferreira","1750","1980","07","23","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem esquerda, ao lado do Laço Moçura a 30 km de Porto de Trombetas.","-55.8661","-1.76556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01142704","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.","T. D. Pennington","C. A. Cid Ferreira","1962","1980","07","31","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem direita, Porto Trombetas, estrada da Minerçao Rio-Norte km 60 atras da Mona de Bauxita, proximo ao igarape Saracazinho.","-55.8661","-1.76556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583227' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142704","NY01142704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:42:48-03","EAO","IAN","1915","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.",NA,"Spruce, R","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN001915","IAN001915_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-20 13:41:58-03","INPA","INPA-CARPOTECA","95889","Carpo","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.",NA,"Ferreira, CAC","1750","1980","07","23","Southern America","Brasil","Pará","Oriximinã","Rio Trombetas, Rio Trombetas, margem esquerda ao lado do Lago Muçura a 30 Km de Porto Trombetas","-55.8661003112793","-1.76556003093719",NA,NA,"INPA0095889","INPA0095889 INPA0095889_e INPA0095889_e1",NA,"479450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-08-30 17:55:48-03","MNHN","RECOLNAT_MNHN_P","P02288137","PreservedSpecimen",NA,NA,NA,"Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.",NA,"Spruce, R.",NA,"1852","3",NA,NA,"Brésil",NA,NA,"San Gabriel",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02288137' target='other'> <mi>dwc_moreinfo</mi></a>","P02288137","P02288137_01","type",NA,NA,"2240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-11-07 02:14:47-02","MNHN","RECOLNAT_MNHN_P","P02288138","PreservedSpecimen",NA,NA,NA,"Meliaceae","Guarea","sprucei","Guarea sprucei","C.DC.",NA,"Spruce, R.",NA,"1852","3",NA,NA,"Brésil",NA,NA,"San Gabriel",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02288138' target='other'> <mi>dwc_moreinfo</mi></a>","P02288138","P02288138_01","type",NA,NA,"2240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
