"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","continentOcean","individualCount","imagecode","fieldNumber","preparationType","relatedCatalogItem"
"1","2019-05-14 12:14:59-03","MCN-PUC-MINAS","HPUC-MG","BRI067","S","Plantae","Bryophyta","Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Starling, M. F. V.; Tonini, A.","2003","02","04","Brasil","Minas Gerais","Belo Horizonte","Parque das Mangabeiras","-43.894444","-19.9325","43°53'40'' W","19°55'57'' S","991","991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79637","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Hatschbach, G.","1968","11","13","Brasil","PR","Campina Grande do Sul","Serra Capivari grande","-49.0553016662598","-25.3055992126465",NA,NA,"1200","1200","Mart.","A. Sehnem","1969","10","31","29338","55154","ASSL 10696 Habitat: epífita, da mata no vale entre morro","PACA079637","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79639","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Hatschbach, G.","1972","11","19","Brasil","PR","Palmas","Morro da Baliza","-51.9906005859375","-26.4841995239258",NA,NA,"1100","1100","Mart.","A. Sehnem",NA,NA,NA,"30737","46666","ASSL 14265 Habitat: no capão, na bae do tronco podre","PACA079639","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79636","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Sehnem, A.","1963","02","25","Brasil","RS","Gramado",NA,"-50.8739013671875","-29.3785991668701",NA,NA,"800","800","Mart.","Sehnem, A.","1970","03","29","8218","13851","ASSl 8218 Habitat: ad arborem in silva","PACA079636","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79638","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Sehnem, A.","1970","01","15","Brasil","RS","Panambi",NA,"-53.5017013549805","-28.2924995422363",NA,NA,"400","400","Mart.","Sehnem, A.","1970","03","29","10801","22393","Habitat: probe urbem ad corricem arboris in silva","PACA079638","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79640","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","pulchellum","Brachymenium pulchellum","Sehnem, A.","1935","12","20","Brasil","RS","Montenegro","São Salvador","-51.4611015319824","-29.6886005401611",NA,NA,"450","450","Hornsch","E. B. Bartram",NA,NA,NA,"94","21601","Habitat: ad truncum arboris","PACA079640","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79641","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","pulchellum","Brachymenium pulchellum","Sehnem, A.","1946","06","02","Brasil","RS","Montenegro","São Salvador","-51.4611015319824","-29.6886005401611",NA,NA,"550","550","Hornsch","Sehnem, A.",NA,NA,NA,"413","21601","Habitat: in trunco viridi","PACA079641","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-09 17:04:21-03","IAP","PACA-BRYOPHYTES","79642","PreservedSpecimen","Plantae",NA,"Bryaceae","Brachymenium","pulchellum","Brachymenium pulchellum","Sehnem, A.","1946","12","19","Brasil","RS","Santa Cruz do Sul",NA,"-52.4258003234863","-29.7175006866455",NA,NA,"100","100","Hornsch","E. B. Bartram",NA,NA,NA,"2348","38612","Habitat: ad arborem","PACA079642","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-01-17 11:22:17-02","PUCRS","MPUC","4807","S","Plantae",NA,"Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum",NA,"2009","02","25","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333","-50.1744444000","-29.4808333000",NA,NA,"Mart.",NA,"2010","01","01",NA,NA,NA,NA,NA,"Bryopsida","Bryales","South America","1",NA,NA,NA,NA
"10","2021-03-16 17:55:21-03","UCS","HUCS","50786","PreservedSpecimen","Plantae","Bryophyta","Bryaceae","Brachymenium","hornschuchianum","Brachymenium hornschuchianum","Gonzatti, F.","2019","12","10","Brasil","São Paulo","Cruzeiro","Serra dos Marins, Trilha para o Pico dos Marins a partir do acampamento base.","-45.147778","-22.508611","-45.147778","-22.508611","1580","1580","Mart.","Peralta, D.F.","2020","03",NA,"5389",NA,"Musgo corticícola de ápice de árvore caída, floresta ombrófila",NA,NA,NA,"Bryales",NA,NA,NA,NA,NA,NA
