"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","recordNumber","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","previousCatalogNumber","fieldNumber","sex"
"1","2021-04-05 14:25:47-03","UNESC","CRI","15209","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago","L.","Aline Votri Guislon & Renato Colares","2019","02","19","Aline V. Guislon; Iara Z. Zanoni; Renato Colares & Altamir R. Antunes","2019","02","19","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L12. Bairro Morro Albino.","-49.388611","-28.796944","49º23'19''W","28º47'49''S","75","75","Habito: Arbustivo","CRI014624","CRI014624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:54-03","UNESC","CRI","6221","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago","L.","Daniel Ruschel","2003","06","30","Silvio Daufenbach","1997","03","15","Brasil","Santa Catarina","São Ludgero",NA,"-49.178889","-28.33","49º10'44''W","28º19'48''S",NA,NA,NA,"CRI006106","CRI006106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:47-03","UNESC","CRI","11853","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","M. Sobral",NA,NA,NA,"A. Stival-Santos; S. Silveira","2009","01","27","Brasil","Santa Catarina","Nova Itaberaba","Nova Itaberaba.","-52.876111","-26.998611","52º52'34''W","26º59'55''S","414","414","Floresta Estacional Decidual Habito: arbustiva","CRI006105","CRI006105","medium","395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:47-03","UNESC","CRI","11609","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","M. Verdi","2009","03","05","M. Verdi; R. P. Hasckel & G. Klemz","2009","03","05","Brasil","Santa Catarina","Mondaí","Linha Quilombo.","-53.508889","-27.088333","53º30'32''W","27º5'18''S","338","338","Floresta Estacional Decidual","CRI008557","CRI008557","medium","1727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:47-03","UNESC","CRI","11853","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","M. Sobral",NA,NA,NA,"A. Stival-Santos; S. Silveira","2009","01","27","Brasil","Santa Catarina","Nova Itaberaba","Nova Itaberaba.","-52.876111","-26.998611","52º52'34''W","26º59'55''S","414","414","Floresta Estacional Decidual Habito: arbustiva","CRI006105","CRI006105","medium","395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:47-03","UNESC","CRI","11609","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","M. Verdi","2009","03","05","M. Verdi; R. P. Hasckel & G. Klemz","2009","03","05","Brasil","Santa Catarina","Mondaí","Linha Quilombo.","-53.508889","-27.088333","53º30'32''W","27º5'18''S","338","338","Floresta Estacional Decidual","CRI008557","CRI008557","medium","1727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3592","S","Plantae","Piperaceae","Piper","amalago","Piper amalago","L.","Carlos Alberto Ferreira Junior","2015","07","06","Carlos Alberto Ferreira Junior; Davidson Guilherme","2015","07","04","Brasil","Minas Gerais","Nova Lima","Corrego do Cardoso, Fundo do Condomínio Ouro Velho","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"254",NA,NA,NA,"CAF1568","Magnoliophyta","Piperales","29211","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557490","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","M. Carvalho-Silva",NA,NA,NA,"K. Mizoguchi","1980","08","25","Brazil","São Paulo","Sao Roque","Sao Roque, Linha Sorocabana, W 60 km from Jandira","-47.13","-23.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557490","NY00557490_01","medium","1655","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957146","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","C. L. F. Ichaso; E. F. Guimarães",NA,NA,NA,"A. F. C. P. Saint-Hilaire","1816",NA,NA,"Brazil","Minas Gerais",NA,"Brésil, Province de Minas Geraes. Serra de Carassa.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957146","NY00957146_01","medium","s.n.","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","686842","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago","L.","M. Carvalho-Silva",NA,NA,NA,"J. A. Kallunki","1993","01","18","Brazil","Espírito Santo","Guarapari","Rodovia do Sol, road linking BR-101 to the Praia Setibana, ES-060 at 6 km E of BR-101","-40.45","-20.55",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=844588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686842","NY00686842_01",NA,"340","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4135217","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.",NA,NA,NA,NA,"G. Davidse","1980","06","24","Venezuela","Zulia","Perijá","hills bordering Quebrada Cosira, 3½ km SW of Los Angeles de Tucuco, foothills of Cerro Cunasamo (Serrania de Perijá)","-72.82","9.83",NA,NA,"200","460","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4458049' target='other'> <mi>dwc_moreinfo</mi></a>","NY04135217",NA,"medium","18542","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","555675","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","T. G. Yuncker",NA,NA,NA,"A. P. Duarte","1961","09","02","Brazil","Bahia","Porto Seguro","Porto Seguro","-39.0644","-16.4497",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555675","NY00555675_01","medium","6108","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","885113","PreservedSpecimen","Plantae","Piperaceae","Piper","amalago","Piper amalago medium","(Jacq.) Yunck.","E. F. Guimarães",NA,NA,NA,"W. Hoehne","1965","08","26","Brazil","Rio de Janeiro",NA,"Próximo a Tribobó-Araruama, km 8, perto da praia Piratiny.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885113","NY00885113_01","medium","6092","Magnoliophyta","Piperales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
