"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","country","individualCount","occurrenceRemarks","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","year","month","dayIdentified","recordedBy","recordNumber","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","typeStatus","fieldNumber","relatedCatalogItem","previousCatalogNumber","sex"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2210","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","cf. ramosa","Gomesa cf. ramosa","(Lindl.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","Brasil","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3495","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams",NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1536","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","Brasil","3","254","Minas Gerais","Congonhas","Mina casa de Pedra","-43.8577995300293","-20.4997005462646","43°55'33","20°27'42","16368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3289","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams",NA,"Brasil",NA,"254","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2157","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams",NA,"Brasil",NA,"254","Minas Gerais","Nova Lima","Mina Capão Xavier","-43.8466987609863","-19.9855995178223",NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2012","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams",NA,"Brasil",NA,"254","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2458","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Gomesa","ramosa","Gomesa ramosa","(Lindl.) M.W.Chase & N.H.Williams","Carlos A. Ferreira Jr.","Brasil","1","254","Minas Gerais","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711",NA,NA,"17082","auto","2012","04","2012","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4157","S","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","blanchetii","Oncidium blanchetii",NA,"Carlos Alberto Ferreira Júnior",NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","10",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4157","S","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","blanchetii","Oncidium blanchetii",NA,"Carlos Alberto Ferreira Júnior",NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","10",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","822567","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","blanchetii","Gomesa blanchetii","(Rchb.f.) M.W.Chase & N.H.Williams",NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=913165' target='other'> <mi>dwc_moreinfo</mi></a>","Bahia",NA,"Serra da Agua de Rega, ca. 23 km N. of Seabra, road to Agua de Rega, near Rio Riachão","-41.77805","-12.21875",NA,NA,NA,NA,NA,NA,"1971","02",NA,"H. S. Irwin","30892","24","South America","1000","1000","sheet","NY00822567","NY00822567_01",NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1032200","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","blanchetii","Gomesa blanchetii","(Rchb.f.) M.W.Chase & N.H.Williams",NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192151' target='other'> <mi>dwc_moreinfo</mi></a>","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55",NA,NA,NA,NA,NA,NA,"1968","02",NA,"H. S. Irwin","20718","23","South America","1200","1200","sheet","NY01032200","NY01032200_01",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1032207","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","blanchetii","Gomesa blanchetii","(Rchb.f.) M.W.Chase & N.H.Williams",NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192180' target='other'> <mi>dwc_moreinfo</mi></a>","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 5 km SW of Diamantina, km 305 on MG 259","-43.6007","-18.24015",NA,NA,NA,NA,NA,NA,"1972","02",NA,"W. R. Anderson","35456","05","South America","1300","1300","sheet","NY01032207","NY01032207_01",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1032208","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","blanchetii","Gomesa blanchetii","(Rchb.f.) M.W.Chase & N.H.Williams",NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192186' target='other'> <mi>dwc_moreinfo</mi></a>","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 5 km SW of Diamantina, km 305 on MG 259","-43.6007","-18.24015",NA,NA,NA,NA,NA,NA,"1972","02",NA,"W. R. Anderson","35456","05","South America","1300","1300","sheet","NY01032208","NY01032208_01",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1032206","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Gomesa","blanchetii","Gomesa blanchetii","(Rchb.f.) M.W.Chase & N.H.Williams",NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192170' target='other'> <mi>dwc_moreinfo</mi></a>","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,NA,NA,NA,NA,"1971","01",NA,"H. S. Irwin","30251","13","South America","1800","2000","sheet","NY01032206","NY01032206_01",NA,NA,NA,NA,NA
