"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02360775","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","A. F. M. Glaziou","10365","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2542712' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360775","NY02360775_01 NY02360775_02 NY02360775_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442383","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","D. N. Smith","6198","South America","Peru","Cajamarca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442383",NA,"B. Gates","1984","02","24","Celendín","Balsas-Celendin road, 16-23 km from Balsas","-78.8","-6.83","1800","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442382","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","J. Noschang",NA,"South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442382","NY00442382_01","A. Uhlmann","1994","04","16","Jaguariaíva","Parque Estadual do Cerrado","-49.65","-24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442380","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","A. F. C. Filho","11","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442380","NY00442380_01","B. Gates","1960","06","18","Rio de Janeiro","Floresta da Tijuca, caminho do Bico do Papagaio","-43.296022","-22.95134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442381","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","G. G. Hatschbach","39935","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442381","NY00442381_01","B. Gates","1977","05","26","Jaguariaíva","Rio Diamante","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:09-03","UFRJ","RFA","12045","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","P. Occhioni","4891",NA,"Brasil","Rio de Janeiro",NA,"Volúvel lenhosa, flor creme","RFA44634",NA,"B. Gates","1972","05","08","Resende","Mauá","-44.4467010498047","-22.468900680542","1200","1200","1976","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:09-03","UFRJ","RFA","12073","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","P. Occhioni","4836",NA,"Brasil","Rio de Janeiro",NA,"Volúvel lenhosa, flor creme","RFA44632",NA,"B. Gates","1972","05","08","Resende","Serra Mauá","-44.4467010498047","-22.468900680542",NA,NA,"1976","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:47-03","UTFPR","DVPR","4328","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(Adr. Juss.) Gates","Sekine, ES; et al.","95",NA,"Brasil","Paraná",NA,"Trepadeira volúvel a cerca de 4 metros do solo, heliófita, flores amarelas.; Relevo: Suave-ondulado - Vegetação: Floresta estacional semidecidual submontana - Em borda de floresta.","DVPR004328",NA,"Cordeiro, J; Lozano, ED","2009","01","09","Ubiratâ","Sítio Invicta - Propriedade do Sr. Pedro Jacir Bernes","-51.11512","-24.22035","409","409","2009",NA,NA,"-51.11512","-24.22035",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-30 10:29:02-03","UNICAMP","UEC","56824","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","Hatschbach, G; Silva, JM","51980",NA,"Brazil","Paraná",NA,"flor, Trepadeira de flores amarelas pálido. Mata degradada dos grotôes.","UEC166560","UEC166560","Anderson, WR","1988","04","24","Jaguariaíva","Paredão da Santa.","-49.7057991027832","-24.2511005401611",NA,NA,"1989","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:22-03","UNICAMP","UEC","10029","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","parviflora","Banisteriopsis parviflora","(A.Juss.) B.Gates","Stella, M; Silvestre, F","47",NA,"Brazil","São Paulo",NA,"Trepadeira, flores amarelo-esverdeado. Mata secundária.; Mata secundária","UEC166558","UEC166558","Mamede, MCH","1997","05","20","Sorocaba","Munícipio de Piedade, Estrada SP 250.","-47.4500007629395","-23.5",NA,NA,"2005","17154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
