"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","monthIdentified","dayIdentified","class","individualCount"
"1","2020-11-04 10:59:02-03","ESALQ","ESA","88876","PreservedSpecimen","Plantae","Magnoliophyta","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264","63728","ESA088876","ESA088876","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:30:02-03","UFJF","CESJ","59489","PreservedSpecimen","Plantae","Angiosperma","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brasil","Paraná","Candói","-52.0558013916016","-25.5722007751465","42664","CESJ059489","CESJ059489","auto","Rav.","E. Barbosa","2010","J.M. Silva; J. Cordeiro; C.B. Poliquesi","7403","2009","10","18","América do Sul","Paz","Flor amarela. Lajeado de pedra.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:18:54-03","UNICAMP","UEC","150038","S","Plantae","Liliopsida","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brazil","Paraná","Guarapuava","-52.335778","-25.726889",NA,"UEC105685","UEC105685",NA,"Ravenna","Ferraz, J",NA,"Oliveira, RS; Peter de Camargo, R","118","2008","10","28",NA,"Rod. Br 373","Erva com tépalas amarelas, com bases branco-esverdeadas; filetes, estilete e estigma brancos; ovário verde; anteras amarelas.; Brejo junto a rodovia e a monocultura, em propriedade particular.","-52.335778","-25.726889",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:18:54-03","UNICAMP","UEC","195541","S","Plantae","Liliopsida","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brazil","Mato Grosso do Sul","Porto Murtinho","-56.772778","-20.674167",NA,"UEC124200",NA,NA,"Ravenna",NA,NA,"Damasceno Junior, GA; et al.","3836","2005","08","09",NA,"fazenda harmonia, estrada interna para o rio perdido","erva de 50cm, flor creme, invasor","-56.772778","-20.674167","159","159",NA,NA,NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","26486","S","Plantae","Liliopsida","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brazil","Paraná","Londrina","-51.1627998352051","-23.3103008270264","63728","UEC126988","UEC126988","auto","Ravenna",NA,NA,"Colli, S","s.n.","1981","03","09",NA,"Campus Universitário - FUEL.","Porte herbáceo, inflorescência branca.; Em cultura de milho.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:18:54-03","UNICAMP","UEC","26494","S","Plantae","Liliopsida","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brazil","Paraná","Londrina","-51.1627998352051","-23.3103008270264","63728","UEC126989","UEC126989","auto","Ravenna",NA,NA,"Dias, MC","s.n.","1981","03","09",NA,"Campus Universitário - FUEL.","Porte herbáceo, inflorescência branca.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:18:54-03","UNICAMP","UEC","89725","S","Plantae","Liliopsida","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","UEC126985","UEC126985","auto","Ravenna",NA,NA,"Souza, WS; et al.","24752","1986","02","22",NA,"Caminho do Cano.","Erva raptante, com flores esverdeadas, ruderal.; Em local arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:50:13-03","UCS","HUCS","39928","PreservedSpecimen","Plantae","Angiospermae","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brasil","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","HUCS007688",NA,"auto","Ravenna","Gaio, J.","2013","Gaio, J.","278","2013","03","05",NA,"Distrito de Criúva - propiedade da família Pante","no campo antrópico - sob solo rochoso",NA,NA,NA,NA,"Asparagales","03","18",NA,NA
"9","2021-03-16 17:50:13-03","UCS","HUCS","39937","PreservedSpecimen","Plantae","Angiospermae","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brasil","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","HUCS007675",NA,"auto","Ravenna","Gaio, J.","2013","Grizzon, M.","56","2011","11","27",NA,"Fazenda Pedro Hoffmann","flores alaranjadas; campo - sobre lajeado",NA,NA,NA,NA,"Asparagales","03","18",NA,NA
"10","2021-03-16 17:50:13-03","UCS","HUCS","36266","PreservedSpecimen","Plantae","Angiospermae","Amaryllidaceae","Zephyranthes","paranaensis","Zephyranthes paranaensis","Brasil","Paraná","Candói","-52.0558013916016","-25.5722007751465","42664","HUCS007740",NA,"auto","Ravenna","Barbosa, E.","2010","Silva, J.M.","7403","2009","10","17",NA,"Paz","flor amarela &nf;herbário MBM; lajeado de Pedra",NA,NA,NA,NA,"Asparagales",NA,NA,NA,NA
