"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","428329","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","anneae","Licania anneae","Prance","isotype","G. T. Prance","P25652","1977","11","22","South America","Brazil","Pará","BR 163, Cuiabá-Santarem Highway, km 1305, vicinity of Igarape Jose Preto","-55.9120739","-5.3487999","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428329","NY00428329_01 NY00428329_02",NA,NA,NA
"2","2020-02-08 09:45:46-03","NBC","NL-BOTANY","U 0008524","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Licania","anneae","Licania anneae","Prance","isotype","Prance GT; Silva ASL da; Balick MJ; et al.",NA,"1977","11","22","Southern America","Brazil","Pará","BR 163, km 1305, vicinity of Igarape Jose Preto.",NA,NA,NA,"Margin of forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008524","NL-U0008524","Magnoliopsidae","Prance GT","399257 B"
"3","2021-03-01 16:27:58-03","UNICAMP","UEC","1371","S","Plantae","Magnoliopsida",NA,"Chrysobalanaceae","Licania","anneae","Licania anneae","Prance","isotypus","Prance, GT; Silva, AS; Balick, MJ; Henderson, AJ; Nelson, BW; Bahia, RP","P25652","1977","11","22",NA,"Brazil","Pará","BR 163, Km 1305, vicinity of Igarapé José Preto.",NA,NA,NA,"Tree 7m x 10cm diam; calyx & filaments white turning brown with age.; Margin of forest on terra firme.","UEC006421","UEC006421",NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1820334","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","anneae","Licania anneae","Prance","Isotype","Ghillean T. Prance","Prance 25652","1977","11","22","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway. Km. 1305, vicinity of Igarape Jose Preto. Margin of forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA
