"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1402","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","Nygel Taylor","Inês Ribeiro de Andrade;","2003","05","09","Brasil","Minas Gerais","Pedra Azul","Fazenda Marcilio Pires","-41.2971992492676","-16.0053005218506","41°17'23","16° 02' 26","39993","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645448","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) Stuppy & N.P.Taylor",NA,"J. N. Rose","1915","06","25","Brazil","Bahia",NA,"South of Monte Cruzeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20051","South America","sheet","NY00645448","NY00645448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:01:20-03","JBP","HPL","13717","S","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"N.P. Martinez","2014","08","12","Brasil","SP","Nova Odessa","Jardim Botânico Plantarum - Coletado no jardim de Cactaceae Brasileiras, cultivada, origem Morro do Chapéu - BA.","-47.29","-22.77",NA,NA,"8440",NA,NA,"auto","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-29 12:45:36-03","UNICAMP","UEC","161455","S","Plantae","Magnoliopsida",NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","Taylor, NP; Zappi, DC","Dutilh, JHA; Semir, J",NA,NA,NA,"Brazil","Minas Gerais","Jaíba","Furados.","-43.859167","-15.210278","-43.859167","-15.210278",NA,NA,NA,NA,"s.n.",NA,NA,"UEC069130","UEC069130","2006",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:27:18-03","UNICAMP","UEC","134101","S","Plantae","Magnoliopsida",NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","Aona, LYS","Aona, LYS; Machado, M","2003","10","08","Brazil","Bahia","Morro do Chapéu","Estrada em direção ao Buraco do Possidônio, cerca de 10 Km da cidade.","-41.1561012268066","-11.5500001907349",NA,NA,"98143",NA,"Flores vermelhas, fruto com polpa rosa.","auto","853",NA,NA,"UEC090784","UEC090784","2003","10",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-04 11:04:47-03","UFRB","HURB","13636","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","inamoena x werneri","Tacinga inamoena x werneri",NA,NA,"Mendes, D. B.; Machado, M.","2015","11","06","Brasil","Bahia","Urandi","de Urandi para Licinio de Almeida, ca. 6km ao longo da BA-026 sentido Licinio de Almeida, afloramento de granito ao lado da estrada","-42.611222","-14.748389","42º36'40,4W","14º44'54,2S",NA,NA,"No mesmo local também havia: Arrojadoa rhodantha, Brasilicereus phaeacamthus, Coleocephalocereus goebelianus, Pereskia aureiflora, tacinga inamoena, Tacinga werneri.",NA,"28",NA,NA,"HURB000013636","HURB000013636",NA,NA,"865","865",NA,NA,NA,NA,NA
"7","2021-03-04 11:04:47-03","UFRB","HURB","13610","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Mendes, D. B.; Machado, M.","2015","11","04","Brasil","Bahia","Lagoa Real","Estrada de Chão a oeste de Lagoa Real em direção à serra sentido Maniaçu","-42.184944","-14.009583","42º11'05,8W","14º00'34,5S",NA,NA,NA,NA,"02",NA,NA,"HURB000013610","HURB000013610",NA,NA,"520","520",NA,NA,NA,NA,NA
"8","2021-03-04 11:04:47-03","UFRB","HURB","13635","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Mendes, D. B.; Machado, M.","2015","11","06","Brasil","Bahia","Urandi","de Urandi para Licinio de Almeida, ca. 6km ao longo da BA-026 sentido Licinio de Almeida, afloramento de granito ao lado da estrada","-42.611222","-14.748389","42º36'40,4W","14º44'54,2S",NA,NA,"No mesmo local também havia: Arrojadoa rhodantha, Brasilicereus phaeacanthus, Coleocephalocereus goebelianus, Pereskia aureiflora, tacinga inamoena, Tacinga inamoena x Tacinga werneri.",NA,"27",NA,NA,"HURB000013635","HURB000013635",NA,NA,"865","865",NA,NA,NA,NA,NA
"9","2021-03-04 11:04:47-03","UFRB","HURB","16608","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Mendes, D.B.",NA,NA,NA,"Brasil","Bahia","Ibicoara",NA,"-41.573306","-13.452528","41º34'23,9W","13º27'9,1S",NA,NA,NA,NA,"103",NA,NA,"HURB000016608",NA,NA,NA,"637","637",NA,NA,NA,NA,NA
"10","2021-03-04 11:04:47-03","UFRB","HURB","6531","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Aona, L.Y.S.; Moreira, D.M.; Pereira, C.D.V.; Zappi-Taylor, B.","2013","08","14","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova; Setor leste, Faz. Cotermaia, Região da Lagoa Danta, Lagedo do Seu Zequinha","-40.261111","-14.358611","40°15'40 W","14°21'31S",NA,NA,NA,NA,"3000",NA,NA,"HURB000006531",NA,NA,NA,"683","683",NA,NA,NA,NA,NA
