"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-20 10:01:54-03","UNICAMP","UEC","205393","S","Plantae","Liliopsida","Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Wanderley, MGL","2018","04","19","paratypus","Wanderley, MGL","CFSC5487","1978","07","04","Brazil","Minas Gerais","Santana Do Riacho","Serra do Cipó, km 98 da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328","26557","UEC190967","UEC190967","auto",NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:47:46-03","MBM","MBM","367391","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.",NA,NA,NA,NA,"PARATYPE","Wanderley, M.G.L.; Mota, N.F.O.; Viana, P.L.; Giorni, V.; Louzada, R.; Mota, N.F.O.; Viana, P.L.; Giorni, V.; Louzada, R.","2579","2007","05","23","Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto","-43.345","-18.116111",NA,"MBM367391","MBM367391",NA,"Southern America","-43.345","-18.116111","Campo rupestre.",NA,NA
"3","2020-12-21 16:47:46-03","MBM","MBM","401615","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2014",NA,NA,"PARATYPE","Lozano, E.D.; Damasceno, B.; Damasceno, B.","2516","2013","12","20","Brazil","Paraná","Ponta Grossa","Estrada para o Capão da Onça","-50.023056","-25.106667",NA,"MBM401615","MBM401615",NA,"Southern America","-50.023056","-25.106667","Isolada ou cespitosa, 50 cm, flor amarela, bainha subterrânea.; Campos Gerais. Campo úmido.",NA,NA
"4","2020-12-21 16:47:46-03","MBM","MBM","429231","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2017",NA,NA,NA,"Lozano, E.D.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.","3604","2017","03","14","Brazil","Paraná","Ponta Grossa","Sítio da Família Martins","-50.035444","-25.060333",NA,"MBM429231",NA,NA,"Southern America","-50.035444","-25.060333","Herbácea, isolada, 50 cm, flor amarela, em campo úmido.; Campos Gerais.",NA,NA
"5","2020-12-21 16:47:46-03","MBM","MBM","68083","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.",NA,NA,NA,NA,"PARATYPE","Anderson, W.R.; et al.; et al.","35423","1972","02","04","Brazil","Minas Gerais","Gouveia","Ca. 8km of Gouveia on road to Diamantina","-43.7407989501953","-18.4543991088867","37970","MBM068083","MBM068083","auto","Southern America",NA,NA,"Herb in wet sand; petals yellow.; Rocky (sandstone) cerrado and open rocky hollsides with white sandy soil, sloping down to grassy brejo, creek, and adjacent gallery forest.","1220","1220"
"6","2020-12-21 16:47:46-03","MBM","MBM","398014","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2015",NA,NA,NA,"Engels, M.E.; Mazziero, F.F.F.; Michelon, C.; Canestraro, B.K.; Mazziero, F.F.F.; Michelon, C.; Canestraro, B.K.","902","2013","03","21","Brazil","Paraná","Carambeí","Rio Tamanduá","-50.0971984863281","-24.9178009033203","26641","MBM398014","MBM398014","auto","Southern America",NA,NA,"Folhas cilíndricas verdes com base castanha. Inflorescência castanha. Flor amarela.; Em campo úmido.",NA,NA
"7","2020-12-21 16:47:46-03","MBM","MBM","261061","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.",NA,NA,NA,NA,"PARATYPE","Prata, A.P.; et al.; et al.","863","2000","04","26","Brazil","São Paulo","Itararé","Fazenda Santa Izabel","-49.3400001525879","-24.1100006103516","27729","MBM261061","MBM261061","auto","Southern America",NA,NA,"Afloramentos rochosos.",NA,NA
"8","2020-12-21 16:47:46-03","MBM","MBM","401614","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2014",NA,NA,"HOLOTYPE","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","2682","2014","03","11","Brazil","Paraná","Ponta Grossa","Fazenda Pinheirinhos, Capão da Onça","-50.025278","-25.102222",NA,"MBM401614","MBM401614",NA,"Southern America","-50.025278","-25.102222","Cespitosa, 50 cm, flores amarelas, campo úmido.; Campos Gerais.",NA,NA
"9","2020-12-21 16:47:46-03","MBM","MBM","401616","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2014",NA,NA,"PARATYPE","Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","2642","2014","03","11","Brazil","Paraná","Ponta Grossa","PARNA dos Campos Gerais, Cachoeira São Jorge","-50.055556","-25.034444",NA,"MBM401616","MBM401616",NA,"Southern America","-50.055556","-25.034444","Cespitosa, 40 cm, bainhas deliquescentes, flores amarelas. campo úmido.; Campos Gerais. Campo úmido.",NA,NA
"10","2020-12-21 16:47:46-03","MBM","MBM","401617","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2015",NA,NA,NA,"Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","3023","2015","08","08","Brazil","Paraná","Piraí do Sul","Fazenda Garrote","-49.855667","-24.398278",NA,"MBM401617","MBM401617",NA,"Southern America","-49.855667","-24.398278","Isolada, 50 cm, bainha subterranea, flores amarelas, em plantio de pinus cortado. Área antrópica.; Campos Gerais.",NA,NA
"11","2020-12-21 16:47:46-03","MBM","MBM","318939","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2015",NA,NA,"PARATYPE","Barboza, E.; Costa, E.F.; Von Lisingen, L.; Costa, E.F.; Von Lisingen, L.","1369","2006","05","05","Brazil","Paraná","Piraí do Sul","Estrada de ferro Jaguariaíva - Piraí do Sul","-49.948600769043","-24.5261001586914","37171","MBM318939","MBM318939","auto","Southern America",NA,NA,"Ereta, flor amarela.; Depressão úmida do campo.",NA,NA
