"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","typeStatus","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","396276","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","A. C. Brade","Altamiro","156","1945","10","22","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Almirante","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396276","NY00396276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","880159","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.",NA,"J. M. A. Braga","3712","1996","12","04","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Ponte do Maromba, proximidades das margens do rio Campo Belo.","-44.65833","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880159","NY00880159_01","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765143","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Altamiro; Walter T",NA,"1945","10","22","Southern America","Brazil","Rio de Janeiro",NA,"Itatiaia, Almirante",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765143 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765143","NL-U1765143",NA,"Magnoliopsidae","U 0253269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765142","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Kuhlmann M",NA,"1949","09","24","Southern America","Brazil","São Paulo",NA,"Brasil-Estado de Sao Paulo: Campos do Jordao, Fazenda da Guarda.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765142 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765142","NL-U1765142",NA,"Magnoliopsidae","U 0121326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:58:51-03","NBC","NL-BOTANY","L.2445755","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.",NA,"Ule EHG",NA,"1895","12","01","Southern America","Brazil",NA,NA,"Auf der Serra do Itatiaia. Estado de Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2445755 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2445755","NL-L2445755",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765139","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Kuhlmann JG",NA,"1922","10","17","Southern America","Brazil","Rio de Janeiro",NA,"Itatiaia, Estado do Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765139","NL-U1765139",NA,"Magnoliopsidae","U 0121454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765140","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Markgraf F",NA,"1952","12","23","Southern America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765140","NL-U1765140",NA,"Magnoliopsidae","U 0121453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765141","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Duarte AP; Pereira E",NA,"1947","01","08","Southern America","Brazil","Rio de Janeiro",NA,"Est. do Rio de Janeiro. Itatiaia, caminho dos Macieiras.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765141","NL-U1765141",NA,"Magnoliopsidae","U 0121445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765144","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Mexia YEJ",NA,"1930","02","06","Southern America","Brazil","Minas Gerais",NA,"Distrito Viçosa. Fazenda da Grama; trail to Areponga., c. 13 km.","-42.876638","-20.756822",NA,"Open, swampy place in woods.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765144 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765144","NL-U1765144",NA,"Magnoliopsidae","U 0121653","-42.876638","-20.756822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1765145","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Viola","subdimidiata","Viola subdimidiata","A.St.-Hil.","Ballard HE","Kuhlmann M",NA,"1956","11","06","Southern America","Brazil","Rio de Janeiro",NA,"Estado do Rio de Janeiro: Rio Funil, (proximo do Estado de Sao Paulo).",NA,NA,NA,"Terrenos úmedos.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1765145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1765145","NL-U1765145",NA,"Magnoliopsidae","U 0121652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
